id,filter,text_JP,text
extraMoveCancel,config,移動キャンセルタイミングを延長,Delay move-cancel timing
backerFilterNone,config,フィルターしない,Filter None
backerFilterLang,config,言語でフィルターする,Filter Language
backerFilterAll,config,全てフィルターする,Filter All
backerFilterNone_tip,,バッカーコンテンツやムーンゲートのマップは、言語に関わりなく表示されます。,Backer contents and moongate maps are displayed regardless of language.
backerFilterLang_tip,,バッカーコンテンツやムーンゲートのマップは、現在の言語のもののみ表示されます。,Backer contents and moongate maps are displayed only for the current language.
backerFilterAll_tip,config,"バッカーコンテンツは表示されません。
ムーンゲートのマップは現在の言語のもののみ表示されます。

バッカーコンテンツはゲームにフィットするよう調整され
世界にさらなる深みを追加します。","Backer contents are not displayed.
Moongate maps are displayed only for the current language.

Backer content is adjusted to fit the game, adding
further depth to the world.
"
borderSetting,config,マップの境界線,Map Borders
borderNone,config,境界線を表示しない,Hide borders
borderField,config,フィールドでのみ表示,Show borders in fields
borderAll,config,常に全て表示,Always show borders
showFloatButtons,config,バックパックのフロートボタンを常に表示,Always show floating buttons in containers
aa,config,アンチエイリアス,Anti Alias
advMode,config,冒険,Adventure
altAbility,config,フロートアビリティを使用する,Use float ability window
altInv,config,フロートインベントリを使用する,Use float inventory window
altKeyAxis,config,キーボードでの移動軸を見下ろし型に修正,Alternative keyboard move axis
altChangeHeight,config,家具を設置時、Shiftキーを押している時のみ高さ変更を有効にする,Adjust height only when holding Shift key while placing furniture
alwaysUpdateRecipe,config,レシピを常に更新,Always update recipes
alwaysUpdateRecipe_tip,config,"レシピを毎ターン常に更新します。
環境によっては重くなります。","Update craft recipes every turn.
It can cause performance problem."
AMB,config,環境音,Ambience
ani0,config,1.カクカク,1.Jittery
ani1,config,2.かなりレトロ,2.Very Retro
ani2,config,3.レトロ,3.Retro
ani3,config,4.スムーズ,4.Smooth
ani4,config,5.ヌメヌメ,5.Very Smooth
extraToneMTP,config,特殊語尾の出現倍率,Probability of Special Endings (Language Specific)
animeFrame,config,モブのフレームレート,Mob frame rate
animeFramePC,config,PCのフレームレート,PC frame rate
animeFramePCC,config,PCCのフレームレート,PCC frame rate
antiMissClick,config,ミスクリック予防時間,Anti-miss-click
antiMissClick_tip,config,"左クリックにつられて右ボタンを押してしまった時に
クリックを無効にする時間を設定します。","When left clicking lures unwanted right clicking, 
nullifies the click during the set duration."
autoRun,config,マウス距離、キー長押しで自動的に走行,Auto run by mouse distance or holding down keys
MASTER,config,マスター音量,Master Volume
BGM,config,音楽,Music
bgmInterval,config,BGMインターバル,BGM Interval
bloom,config,ブルーム,Bloom
bloom2,config,ブルーム(追加),Bloom(Extra)
blur,config,アンチエイリアス,Anti Alias
customBrightness,,明るさの調整,Adjust Brightness
brightness,config,明度,Brightness
brightnessNight,config,夜の明度,Night Brightness
button,config,ボタン,Button
camera,config,カメラ,Camera
camera_build,config,カメラ（ビルドモード）,Camera(Build Mode)
childMode,config,お子様モード,Child Mode
compareMode,config,比較モード(ゲーム内),Compare Mode(Only In-Game)
appearanceWindow,config,外観,Appearance
config,config,設定,Config
worldSetting,config,世界の摂理,World Law
config_caption,config,Config,Config
confirmMapExit,config,マップ退出時に確認ダイアログを表示する,Show warning when exiting a map
contrast,config,コントラスト,Contrast
toggle_tutorial,config,ネルンのチュートリアルを表示,Show Nerun's Tutorial
toggle_shippingResult,config,出荷報告を表示,Show Shipping Report
debug_config,config,ユーティリティ,Utility
doubleClickToHold,config,ダブルクリックでインベントリのアイテムを持つ,Double click to hold an item in inventory
dragScroll,config,ドラッグスクロール,Drag Scroll
dynamicBrightness,config,オート明度,Dynamic Brightness
dynamicBrightness_tip,config,設定がオンの時、夜や地下など暗い場面でUIの明度を自動的に下げます。,"When turned on, UI brightness will be adjusted according to the scene's darkness."
edgeScroll,config,エッジスクロール,Edge Scroll
enableCloud,config,雲の描画,Draw Clouds
disableLightning,config,雷のフラッシュ効果などを無効化,Disable lightning flash effects
enableFirefly,config,ホタルのパーティクル,Firefly Particle
enableFoam,config,水際の描画(temp),Draw Water Edge(temp)
enableFreePos,config,フリースタイル配置を有効,Enable Freestyle Placement
enableFreePos_tip,config,"ビルドモードでフリースタイル配置がトグルできるようになります。
フリースタイル配置では、タイルの好きな場所にアイテムを配置できます。
*注意* 配置によってはグリッチが出ることがあります。","Enables you to toggle Freestyle Placement in Build Mode.
When the Freestyle Placement is active, you can position items freely on a map tile.
*Warning* It can cause glitch depending on an item's position."
enableBlizzard,config,吹雪,Blizzard
enableFloorEx,config,床の鏡面効果,Floor mirror effect
enableGodray,config,木漏れ日,Godray
disableAutoStairs,config,階段を自動的に使用しない,Disable auto-using stairs
haltOnSpotTrap,config,罠を発見した時移動を止める,Stop moving upon spotting a trap
haltOnSpotEnemy,config,敵を発見した時移動を止める,Stop moving upon spotting an enemy
shiftToUseNegativeAbility,config,攻撃的なアビリティは、Shiftキーを押している時のみ味方に使う,Only use offensive abilities on ally while holding down the Shift key
allyLight,config,住人の光源,Resident lightsource
etc,config,その他,Other
tool,config,ツール,Tool
experimental,config,試験的,Experimental
extendZoomMax,config,近距離ズームを追加,Extend short range zoom
extendZoomMin,config,遠距離ズームを追加,Extend long range zoom
exTurn,config,壁に正面衝突した時も自動で方向転換する,Extra wall avoidance
fixes,config,トラブルシューティング,Trouble Shooting
focus,config,フォーカス,Focus
focusAndPause,config,フォーカスとポーズ,Focus and Pause
focusOnCombat,config,交戦開始時にフォーカスする,Focus on combat
focusPause,config,ﾌｫｰｶｽ & ﾎﾟｰｽﾞ,Focus & Pause
fogBounds,config,マップの境界を塗りつぶす,Fog map bounds
font,config,フォント,Font
fontBalloon,config,吹き出し,Balloon
fontChatbox,config,チャットボックス,ChatBox
fontDialog,config,会話ダイアログ,Conversation
fontNews,config,新聞,Newspaper
fontNumber,config,数字,Numbers
fontUI,config,UI全般,UI
framerate,config,フレームレート,Frame Rate
fullscreen,config,フルスクリーン,Full Screen
game,config,ゲーム,Game
gradientWater,config,水のグラデーション,Gradient Water
graphicQuality,config,画質,Graphic Quality
graphics,config,グラフィック,Graphics
hideUI,config,UIを隠す,Hide UI
holdMiddleButtonToHold,config,中央マウスボタン長押しでインベントリのアイテムを持つ,Hold middle mouse button to hold an item in inventory
ignoreNPC,config,キーボードで移動時に友好NPCの前で止まらない,Pass through friendly NPCs in keyboard movement
invertAxisX,config,X軸反転,Invert X Axis
invertAxisY,config,Y軸反転,Invert Y Axis
keepRunning,config,走行開始後歩かない,Keep running
kuwahara,config,低解像度エフェクト,Low Resolution Effect
kuwahara_tip,config,"画面のピクセルのサイズを均等にします。
ただし、キャラクターなどは低解像度で描画されます。","Normalize the size of pixels.
However, characters and other objects will be drawn at a lower resolution."
language,config,言語(Language),Language
LeftClick,config,左クリック,Left Click
linearZoom,config,リニアズーム,Linear Zoom
mainSkin,config,メインスキン変更,Change Main Skin
mapMode,config,一般,General
MiddleClick,config,中央クリック,Middle Click
MiddlePress,config,中央長押し,Middle Hold
mod,config,Mod,Mod
Mouse3Click,config,マウス4クリック,Mouse4 Click
Mouse3Press,config,マウス4長押し,Mouse4 Hold
Mouse4Click,config,マウス5クリック,Mouse5 Click
Mouse4Press,config,マウス5長押し,Mouse5 Hold
mouseMove,config,マウス移動,Mouse Move
moveframe,config,移動フレーム数,Move Frames
disableMod,config,全てのModを無効化 (再起動が必要),Disable All Mods (Restart required)
syncMod,config,起動時にModを更新,Update Mods on start
syncMod_tip,config,"ゲームの起動時にSteam Workshopでサブスクリプトしているアイテムを
自動的にダウンロードします。オフの場合は、すでにダウンロードされている
アイテムのみが有効化されます。","The game automatically downloads items you're subscribed to in Steam Workshop upon launch.
If turned off, only items that have already been downloaded will be activated."
backupNum,config,バックアップ個数(#1個),Number of Backups(#1)
backupInterval,config,自動バックアップ間隔(#1分),Auto Backup Interval(#1 mins)
auto_backup,config,自動バックアップ,Auto Backup
noCensor,config,モザイクを消す,No Censor Patch
none,config,なし,None
onCombat,config,交戦開始時,on begin combat
onCrazy,config,味方発狂時,on ally crazy
onDeath,config,味方死亡時,on ally death
onLostLimb,config,味方肢体欠損時,on limb lost
onMerchant,config,商人来訪時,on merchat arrive
openLastTab,config,最後に開いていたタブを開く,Open last selected tab
openConfig,config,config.txtを開く,Open config.txt
openLog,config,エラーログを開く,Open error log
openUser,config,Userフォルダを開く,Open User folder
openPackage,config,Packageフォルダを開く,Open Package folder
orthoDiv,config,ピクセル処理方法,Pixel Rounding Method
outlineAlpha,config,バルーンの影の濃さ,Balloon Outline Alpha
pauseOnCombat,config,交戦開始時にポーズする,Pause on combat
pixelize,config,レトロピクセル,Retro Pixel
HDR,config,HDR,HDR
hintHDR,config,"ハイダイナミックレンジの色で画面を描画します。
オンにした場合、色の潰れ等が改善されますが、一部の環境では逆に画質が低下することもあります。","Renders the screen in high dynamic range colors. 
Turning it on fixes color crushing, but it can degrade the image quality on platforms like Steam Deck."
pixelperfectUI,config,ピクセルパーフェクトUI,Pixel Perfect UI
portrait,config,ポートレートにアンチエイリアスを適用,Portraits Anti-Alias
posteffect,config,ポストエフェクト,Post Effect
qInteraction,config,右クリックでクイックインタラクション,Right click for quick interaction
qInteraction_tip,config,"設定がオンの時、マップ上でキャラや施設を右クリックすると
特定のインタラクションを自動的に実行します。","When turned on, right clicking on an object on map will
automatically perform certain interaction."
RightClick,config,右クリック,Right Click
rightClickClose,config,右クリックでウィンドウを閉じる,Right click to close window
rightClickExitBuild,config,ビルドモードを右クリックで終了する,Right click to exit build mode
rightClickHarvest,config,右クリックで採取する (デフォルトは左クリック),Right click to harvest  (Left click is assigned by default)
muteBackground,config,バックグラウンド時はミュート,Mute in background
runBackground,config,バックグラウンドで作動,Run in background
rememberSort,config,コンテナ毎にソートモードを記録する,Save sort mode for each container
runDistance,config,走行開始マウス距離,Run begin mouse distance
saturation,config,彩度,Saturation
screen,config,スクリーン,Screen
scrollSens,config,ホイールスクロール感度,Wheel Scroll Sensitivity
ballonBG,config,吹き出しに背景を表示,Show balloon background image
secureWidth,config,最小限のスクリーンの横幅を確保,Secure minimum screen width
