id,name_JP,name,type,drama,idZone,group,tags,money,chance,minFame,detail_JP,detail,talkProgress_JP,talkProgress,talkComplete_JP,talkComplete
fiama_lock,フィアマの手ほどき,Fiama's Lecture,QuestFiamaLock,fiama,,,,0,0,0,教えたいことがあるの。|フィアマに宝箱を開けてみるよう指示された。宝箱を開けてフィアマに報告しよう。,I'll teach you.|Fiama instructed you to try opening the treasure chest. Let's open it and report back to Fiama.,,,,
fiama_lock1,,,,fiama,,,,0,0,0,,,,,,
fiama_reward,フィアマの予感,Fiama's Feeling,QuestDialog,fiama,,,,0,0,0,ちょっと来て。,Come here.,,,,
fiama_starter_gift,今後の目標,"Vision for the Future ",QuestDialog,fiama,,,,0,0,0,ちょっと来て。,Come here.,,,,
puppy,仔犬の捜索願い,Lost Puppy,QuestPuppy,fiama,,,,0,0,0,仔犬を捜してきて欲しいの。|フィアマから行方不明の仔犬を捜して来るよう頼まれた。仔犬は、ホーム北西の「仔犬の洞窟」に迷い込んだという。,"I want you to look for a puppy.|You have been requested by Fiama to find a lost puppy. Apparently, the puppy has strayed into 'Puppy's Cave' located northwest of your home.""",,,,
puppy1,,,,,,,,0,0,0,|あなたはフィアマが捜していた仔犬を保護した。無事彼女の元まで仔犬を連れ帰して報告する必要がある。,|You have rescued the puppy Fiama was searching for. You need to safely deliver the puppy to her and report.,,,,
puppy2,,,,fiama,,,,0,0,0,,,,,,
crafter,クラフトの道,Way of Crafter,QuestCrafter,ashland,,,,0,0,0,家の一軒でも建てられるようになれば君も一人前の職人だ。|樹木から丸太を採取して、「簡易製作」のアビリティを使い「作業台」を製作する必要がある。作業台を地面に設置したらエイシュランドに報告しよう。,"Learn the art of craftsmanship and build a house. |You need to gather logs from trees and use the ""Quick Craft"" ability to create a ""workbench"". Report back to Ashland once you have built and installed the workbench.",,,,
crafter1,,,,ashland,,,,0,0,0,|「作業台」から「松明」をクラフトして、光源スロットに装備し、エイシュランドに報告しよう。,"|Craft a ""torch"" at the ""workbench"", equip it in your light source slot and report back to Ashland.",,,,
crafter2,,,,ashland,,,,0,0,0,|ホームに最初の家を建設するという目標をエイシュランドから与えられた。適当な広さの空間を壁で囲み、扉を設置すれば家は建設できる。「作業台」で壁と扉を作成し、立派な家を建ててエイシュランドに報告しよう。,"|You have given a goal to build a first house in your homeland. A house can be built by enclosing a space with walls and installing a door. Craft walls and a door at the ""workbench"", build a nice house and report back to Ashland.",,,,
crafter3,,,,ashland,,,,0,0,0,,,,,,
tax,納税の義務,Tax Liability,QuestTax,ashland,,,,0,0,0,言いにくいことがあるのだが…|あなたは納税の義務について学んだ。まずは税金の請求書が送られてくるまで待たなければならない。,I hate to tell you but...| You have learned about your tax obligations. First you have to wait until you receive your tax bill.,,,,
tax1,,,,ashland,,,,0,0,0,|あなたは税金の請求書を受け取った。街道を南東に進んだ先にあるミシリアの役所で納税することができる。,| You have received your tax bill. You can pay the tax at the town hall in Mysilia which is located southeast of the city road.,,,,
tax2,,,,ashland,,,,0,0,0,,,,,,
council,ティリス議会,Tyris Council,QuestCouncil,ashland,,,,0,0,0,ティリス議会について君に教えよう。|ノースティリスでは毎月ティリス連盟による評議会が開催される。まずは複数の議員と実際に話し面識を広げるよう助言された。,"Have you ever heard of the Tyris Council? |In North Tyris, the Tyris Union holds a monthly council meeting. you were advised to talk to several council members first to get to know them better.",,,,
council1,,,,ashland,,,,0,0,0,,,,,,
exploration,新たな地へ,To the New Lands,QuestExploration,ashland,,,,0,0,0,周辺の探索に出かけてみないか？|エイシュランドにナイミールの調査を頼まれた。ナイミールはホームの南東に存在する。,Feel like exploring? |Ashland asked you to investigate a cave called Nymelle. Nymelle is located southeast from your home.,,,,
exploration1,,,,,,,,0,0,0,|ナイミールでファリスと名乗る唄い手と出会った。ホームで彼女に話しかければ何か情報が得られそうだ。,"|You met Farris, a talesinger while exploring Nymelle. You may get some information from her if you talk to her in your home.
",,,,
exploration2,,,,,,,,0,0,0,|ナイミールの奥深くに潜れば何かが見つかるかもしれない。,|Dive deep into Nymelle and you might find something.,,,,
exploration3,,,,,,,,0,0,0,|ナイミールの深層で行く手を阻む帝国の部隊を撃破した。先へと進みナイミールの秘密を確かめよう。,|You've defeated the Imperial troops blocking your way in the depths of Nymelle. Let's go on and find out the secret of Nymelle.,,,,
exploration4,,,,,,,,0,0,0,|ナイミールの深層で行く手を阻む帝国の部隊を撃破した。先へと進みナイミールの秘密を確かめよう。,|You've defeated the Imperial troops blocking your way in the depths of Nymelle. Let's go on and find out the secret of Nymelle.,,,,
exploration5,,,,,,,,0,0,0,|ナイミールの最奥には魔石が存在していた。ホームに戻りエイシュランドに報告しなければならない。,|You found fossilized trees and the crystal at the deepest layer of Nymelle. You must return to your home and report to Ashland,,,,
exploration6,,,,ashland,,,,0,0,0,,,,,,
introInspector,開拓監査官,Frontier Inspector,QuestIntroInspector,ashland,,,,0,0,0,君に紹介したい人物がいる。|,There's someone I want you to meet.|,,,,
shippingChest,はじめての出荷箱,First Shipping Box,QuestShippingChest,loytel,,,,0,0,0,金を稼ぐぞ。|ロイテルに出荷箱を作成するよう頼まれた。彼から渡された素材を使って出荷箱を製作し、地面に設置してからロイテルに報告しよう。出荷箱には必ずパルルの木材を使う必要がある。,"Time to make money.|You have been asked by Loytel to create a shipping chest. Use the materials he provided to build the chest, place it on the ground, and then report back to Loytel. Remember to use palulu wood for the shipping chest.",,,,
shippingChest1,,,,loytel,,,,0,0,0,,,,,,
loytel_farm,開拓の心構え,Pioneer Spirit,QuestLoytelFarm,loytel,,,,0,0,0,ちょっと来てくれ。|ロイテルにクワとショベルを持ってくるように指示された。二つの農具を製作して、ロイテルに話しかけよう。,"Come over here for a moment. | You've been instructed by Loytel to bring a hoe and a shovel. Craft these two farming tools, and report to Loytel.",,,,
loytel_farm1,,,,loytel,,,,0,0,0,,,,,,
greatDebt,ミシリアからの知らせ,News from Mysilia,QuestDialog,loytel,,,,0,0,0,アッシュ達が何か話しているな。,What are Ash and Fiama talking about?,,,,
farris_tulip,唄い手の心遣い,Talesinger's Consideration,QuestDialog,loytel,,,,0,0,0,空が綺麗だな。,The sky is beautiful.,,,,
kettle_join,放浪の錬金術師,Wandering Alchemist,QuestDialog,loytel,,,,0,0,0,誰かが訪ねてきたようだ。,It looks like someone has arrived.,,,,
quru_morning,朝の一時,An Hour in the Morning,QuestDialog,loytel,,,,0,0,0,美味しそうな匂いがするな。,What is this delicious smell?,,,,
quru_sing,花と少女,A Flower and a Girl,QuestDialog,quru,,,,0,0,0,ふんふん♪,Hmm-hmm♪,,,,
quru_past1,災眼の少女,Ill-Eyed Girl,QuestDialog,kettle,,,,0,0,0,浮かない顔をしているね。,What's with the long face?,,,,
quru_past2,噂をすれば,Speaking of the Devil,QuestDialog,farris,,,,0,0,0,（ひそひそ）,(whispering),,,,
vernis_gold,炭鉱に眠る黄金,Gold Beneath,QuestVernis,loytel,,,,0,0,0,ケトル殿なら何か知っているだろうか？|ケトルからヴェルニースの地下に眠る黄金の話を聞いた。ヴェルニースを開拓する準備を整えて、ロイテルに話しかけよう。,I wonder if Master Kettle knows something?|You heard about the gold sleeping beneath Vernis from Kettle. Speak to Loytel when you are ready to develop Vernis.,,,,
vernis_gold1,,,,loytel,,,,0,0,0,最初の拠点から北にしばらく行った場所にヴェルニースはある。ヴェルニースに到着したら、現地で待っているロイテルに報告しよう。,"Vernis is located a bit north from the first base. Once you arrive in Vernis, report to Loytel who will be waiting there.",,,,
vernis_gold2,,,,loytel,,,,0,0,0,開拓の準備が整ったらロイテルに話しかけよう。,Talk to Loytel when you're ready to start developing Vernis.,,,,
vernis_gold3,,,,loytel,,,,0,0,0,ロイテルはあなたに手製爆弾「フラム」のレシピを渡した。爆弾を使って巨大な岩を全て破壊し、ヴェルニースでロイテルに報告しなければならない。,"Loytel gave you a recipe for a homemade bomb called ""Flam"". Use the bomb to destroy all the huge rocks in Vernis and then report back to Loytel.",,,,
vernis_gold4,,,,loytel,,,,0,0,0,ロイテルから「土地の権利書」を受け取った。ヴェルニースの土地の権利を獲得し、ロイテルに話しかけよう。,"Loytel gave you a ""Land Deed"". Talk to Loytel once you have claimed the rights to the land.",,,,
vernis_gold5,,,,loytel,,,,0,0,0,ヴェルニースの開拓が始まった。ヴェルニースの盟約の石を成長させ、ロイテルに報告しなければならない。石の成長の方法がわからない場合は、ロイテルに相談しよう。また、依頼掲示板でクルイツゥア達との会話を進行させる必要がある。,"The development of Vernis has begun. Grow the Hearth Stone in Vernis and report it to Loytel. Ask Loytel if you're unsure how to grow the Hearth Stone. Also, you need to continue conversations with your companions on the quest board. ",,,,
vernis_gold6,,,,loytel,,,,0,0,0,ヴェルニースの地下に竜が出現した。竜退治の心構えができたらロイテルに話しかけよう。,A dragon has appeared in the underground of Vernis. Talk to Loytel once you are ready to confront it.,,,,
vernis_gold7,,,,loytel,,,,0,0,0,ヴェルニースを守るために鋼鉄竜コルゴンの討伐を頼まれた。炭鉱の地下深くに赴き、竜を退治しなければならない。,You are tasked with defeating the Steel Dragon Corgon to protect Vernis. Head deep into the mine of Vernis and slay the dragon.,,,,
vernis_gold8,,,,loytel,,,,0,0,0,炭鉱の地下には古の魔物テフラが待ち構えていた。先に進むためにこの魔物を倒さなければならない。,You encountered an ancient monster Tephra in the depths of the Vernis mine. You must defeat this creature to advance.,,,,
vernis_gold9,,,,loytel,,,,0,0,0,炭鉱の地下深くに巣食う竜の正体は、今は亡き鋼鉄竜コルゴンの忘れ形見だった。ヴェルニースの地上に戻り、ロイテルに報告しよう。,The true identity of the dragon nesting deep in the mine turns out to be the progeny of the now deceased Steel Dragon Corgon. Return to the surface and talk to Loytel in Vernis.,,,,
vernis_gold10,,,,loytel,,,,0,0,0,,3,,,,
vernis_gold11,,,,,,,,0,0,0,,3,,,,
after_vernis,冒険者,Adventurer,QuestDialog,loytel,,,,0,0,0,おほん…ちょっとこっちに来い。,"Ahem, come here.",,,,
mokyu,竜言語の教え,Dragonic Language Lesson,QuestDialog,corgon,,,,0,0,0,もきゅ。,Mokyu.,,,,
pre_debt,絶望の果てに,Beyond Despair,QuestDialog,farris,,,,0,0,0,#pc様、来てください。,"Please come, #pc.",,,,
pre_debt_runaway,行方不明の監査官,Missing Inspector,QuestDialog,loytel,,,,0,0,0,行方不明になったロイテルを探すようファリスに頼まれた。オルヴィナのワインをもう一度飲みたいと、ロイテルはいつも言っていたが…,Farris asked you to find Loytel who has gone missing. He always said he wanted to drink Olvina's wine one more time...,,,,
debt,そして伝説へ,And Thus Into Legend,QuestDebt,,,,,0,0,0,|ロイテルの二千万オレンの借金の返済の手助けを約束した。ロイテルから借金の返済書をもらい、納税箱に納めよう。,"|You promised to help Loytel pay off his 20 million oren debt. Get debt bills from Loytel, and submit them to tax chest.",,,,
debt1,,,,,,,,0,0,0,1|2,,,,,
exile_meet,運命の鼓動,Whispers of Fate,QuestDialog,quru,,,,0,0,0,なでなで。,"Pat, pat, pat.",,,,
exile_quru,長い夜,Long Night,QuestDialog,quru,,,,0,0,0,眠れない。,I can't sleep.,,,,
exile_kettle,忍び寄る影,Creeping Shadow,QuestDialog,kettle,,,,0,0,0,静かな夜だ。,The night is quiet.,,,,
exile_whisper,噂の人物,"Hot Topic ",QuestDialog,farris,,,,0,0,0,（ひそひそ）,(whispering),,,,
exile_voice,陰に潜む声,Voice in the Shadow,QuestDialog,loytel,,,,0,0,0,さっきから、後ろに何かいる気がするんだ。,I feel like there's someone behind me.,,,,
into_darkness,闇へ,Into Darkness,QuestIntoDarkness,kettle,,,,0,0,0,みんな、集まってくれないか？|イスシズルに対処するための方法を考えなければならない。,"Everyone, gather up, please.|You need to find a way to deal with Issizzle.",,,,
into_darkness1,,,,kettle,,,,0,0,0,|ケトルの帰りを待とう。,|Let's wait for Kettle to return.,,,,
into_darkness2,,,,kettle,,,,0,0,0,|ケトルの帰りを待とう。,|Let's wait for Kettle to return.,,,,
into_darkness3,,,,kettle,,,,0,0,0,|ケトルの帰りを待とう。,|Let's wait for Kettle to return.,,,,
into_darkness4,,,,kettle,,,,0,0,0,|死者の洞窟の最奥にある「淀み」に、何らかの液体を投げ入れなければならないようだ。,"|It seems that you must throw some kind of liquid into the ""Stagnation"" at the farthest depth of the Crypt of the Damned.",,,,
into_darkness5,,,,kettle,,,,0,0,0,|アズラシズルを倒せ！,|Defeat Azrasizzle!,,,,
into_darkness6,,,,kettle,,,,0,0,0,|死者の洞窟での用は終わった。拠点でケトルに話しかけよう。,|Your business in the Crypt of the Damned is done. Time to return to your base and talk to Kettle.,,,,
into_darkness7,,,,kettle,,,,0,0,0,|死者の洞窟での用は終わった。拠点でイスシズルからの報せを待とう。,|Your business in the Crypt of the Damned is done. Time to return to your base and await Issizzle's visit.,,,,
negotiation_darkness,闇との対話,Negotiation with Darkness,QuestNegotiationDarkness,loytel,,,,0,0,0,ケトルを見なかったか？|デミタスから追放者の村の結界を解く腕輪を受け取った。ミシリアの東に位置する追放者の村を訪ねてみよう。,Have you seen Kettle?|You received a bracelet from Demitas to break the barrier around the Exile's Village. Let's head to the village located east of Mysilia.,,,,
negotiation_darkness1,,,,,,,,0,0,0,|追放者の村に辿り着いた。追放者の長のビチェリンに話しかけよう。,"|You arrived at the Exile's Village. Let's speak to Bicerin, the village elder.",,,,
negotiation_darkness2,,,,,,,,0,0,0,|ルーリエ海底神殿からデュポンヌを連れ帰るよう、追放者の長ビチェリンに依頼された。,"|Bicerin, the elder of the exiles, entrusted you with the mission to return Duponne from the Sunken Temple of Lurie.",,,,
negotiation_darkness3,,,,,,,,0,0,0,|ルーリエ海底神殿の最奥でドラゴンへと成長したデュポンヌを見つけた。このままでは連れ帰ることは難しそうだが、何か手があるだろうか？,"|You found Duponne, now grown into a dragon, deep within the Sunken Temple of Lurie. To bring her back seems beyond reach now, unless there is another way.",,,,
negotiation_darkness4,,,,,,,,0,0,0,|ビチェリンの依頼を達成した。贖罪の村に戻り、ビチェリンに報告しなければならない。,|The mission given by Bicerin has been fulfilled. Time to return to the Village of Atonement and inform him.,,,,
negotiation_darkness5,,,,,,,,0,0,0,|贖罪の村での用事を終えた。ケトルの帰りを待とう。,|You have finished your business in the Village of Atonement. Let's wait for Kettle to return.,,,,
demitas_spellwriter,魔法書作家,Spellwriter,QuestDialog,demitas,,,,0,0,0,汝に魔術のたしなみはあるか？,Dost thou possess knowledge of the arcane?,,,,
mokyu2,テスト,test,QuestDialog,corgon,,,debug,0,0,0,もきゅ。,Mokyu.,,,,
mokyu3,テスト,test,QuestDialog,corgon,,,debug,0,0,0,もきゅ。,Mokyu.,,,,
farrisSister,妹を訪ねて,Visiting Little Sister,QuestFarrisSister,farris,,,,0,0,0,お話ししたいことがあります。|リサナスの情報について、ファリスは妹のシオルシアを訪ねてみるようあなたに助言した。シオルシアはホームから南西に位置するオルヴィナという村に滞在しているらしい。,,,,,
dummy,ダミー,Dummy,QuestDummy,,,,,0,0,0,もきゅ。,Mokyu.,,,,
order_fighter,ギルドオーダー(戦士),Guild Order(Fighter),QuestGuildOrderFighter,,,,,0,0,0,|,|,,,,
order_mage,ギルドオーダー(魔術師),Guild Order(Mage),QuestGuildOrderMage,,,,,0,0,0,|,|,,,,
order_thief,ギルドオーダー(盗賊),Guild Order(Thief),QuestGuildOrderThief,,,,,0,0,0,|,|,,,,
order_merchant,ギルドオーダー(商人),Guild Order(Merchant),QuestGuildOrderMerchant,,,,,0,0,0,|,|,,,,
guild_fighter,戦士ギルドの一員に,Joining Fighters Guild,QuestGuildFighter,,,,,0,0,0,戦士ギルドの番人から、入団試験の内容を伝えられた。試験に合格するには、複数のイークを倒さなければならない。,The watchman of the Fighters Guild told you the details of the trial. You need to defeat several Yeeks to pass the trial.,,,,
guild_fighter1,,,,,,,,0,0,0,戦士ギルドの入団試験を完遂した。ギルドの番人に報告しよう。,You have completed the trial of the Fighters Guild. Let's report to the watchman.,,,,
guild_fighter10,戦士ギルド,Fighters Guild,,,,,,0,0,0,あなたは戦士ギルドの一員として、ギルドに貢献しなければならない。タスクを達成することで、ギルドの貢献度が獲得できる。貢献度が最大まで達したら、昇進するためにギルドの受付嬢に話しかけよう。,"As a member of the Fighters Guild, you must contribute to the guild. Completing tasks earns you contribution points. Once you've maxed out your contribution, talk to the guild clerk to get promoted.",,,,
guild_mage,魔術師ギルドの一員に,Joining Mages Guild,QuestGuildMage,,,,,0,0,0,魔術師ギルドの番人によれば、アカデミーに入学するには魔術師ギルドのメンバーの推薦状が必要だという。推薦状は店でも購入できるらしい。,"According to the watchman of the Mages Guild, a letter of recommendation from a member of the Mages Guild is required to enter the academy. The letter can be also purchased from a sales-magician.",,,,
guild_mage1,,,,,,,,0,0,0,魔術師ギルドの入団試験を完遂した。ギルドの番人に報告しよう。,You have completed the trial of the Mages Guild. Let's report to the watchman.,,,,
guild_mage10,魔術師ギルド,Mages Guild,,,,,,0,0,0,あなたは魔術師ギルドの一員として、ギルドに貢献しなければならない。タスクを達成することで、ギルドの貢献度が獲得できる。貢献度が最大まで達したら、昇進するためにギルドの受付嬢に話しかけよう。,"As a member of the Mages Guild, you must contribute to the guild. Completing tasks earns you contribution points. Once you've maxed out your contribution, talk to the guild clerk to get promoted.",,,,
guild_thief,盗賊ギルドの一員に,Joining Thieves Guild,QuestGuildThief,,,,,0,0,0,盗賊ギルドの番人から、入団試験の内容を伝えられた。試験に合格するには、犯罪を積み重ねなければならない。,The maiden of the Night told you the details of the Thieves Guild trial. You need to break laws and rack up a record of crimes to pass the trial.,,,,
guild_thief1,,,,,,,,0,0,0,盗賊ギルドの入団試験を完遂した。ギルドの番人に報告しよう。,You have completed the trial of the Thieves Guild. Let's report to the watchman.,,,,
guild_thief10,盗賊ギルド,Thieves Guild,,,,,,0,0,0,あなたは盗賊ギルドの一員として、ギルドに貢献しなければならない。タスクを達成することで、ギルドの貢献度が獲得できる。貢献度が最大まで達したら、昇進するためにギルドの受付嬢に話しかけよう。,"As a member of the Thieves Guild, you must contribute to the guild. Completing tasks earns you contribution points. Once you've maxed out your contribution, talk to the guild clerk to get promoted.",,,,
guild_merchant,商人ギルドの一員に,Joining Merchants Guild,QuestGuildMerchant,,,,,0,0,0,商人ギルドのマリアンから、入団試験の内容を伝えられた。試験に合格するには、街中でチラシを配らなければならない。チラシは受付嬢から購入できる。,Lady Marian told you the details of the Merchants Guild trial. You need to hand out flyers in a town to pass the trial. Flyers can be purchased from the guild clerk.,,,,
guild_merchant1,,,,,,,,0,0,0,商人ギルドの入団試験を完遂した。マリアンに報告しよう。,You have completed the trial of the Merchants Guild. Let's report to Lady Marian.,,,,
guild_merchant10,商人ギルド,Merchants Guild,,,,,,0,0,0,あなたは商人ギルドの一員として、ギルドに貢献しなければならない。タスクを達成することで、ギルドの貢献度が獲得できる。貢献度が最大まで達したら、昇進するためにギルドの受付嬢に話しかけよう。,"As a member of the Merchants Guild, you must contribute to the guild. Completing tasks earns you contribution points. Once you've maxed out your contribution, talk to the guild clerk to get promoted.",,,,
deliver,"ついでの用事
熱狂に沸く街
配達
お祝いの品
珍品の配達
廃品回収
野望への一歩
返却依頼
友情の証","Small errand
The city in a frenzy
Delivery request
Celebration gift
Rare delivery
Waste collector
A step toward ambition
Return request
Token of friendship",QuestDeliver,,,random,"deliver,needDestZone",150,200,0,"#3に行く用事はある{か}？久しく会っていない[qFriend]に、#2をついでに届けてもらえるとありがたい{のだ}。もちろんお礼はする{よ}。
君は知っていた{か}？#3では今#2フィーバーが起こって街中が熱狂しているそう{だ}。#2が手に入らなくて{ね}、[qFriend]に泣きつかれて困っている{のだ}。私の代わりに#3までこの荷物を届けて{くれ}。
#3まで#2を配達して{くれ}。期限内に無事に届ければ、配達先で報酬の#1を払{う}。
[qFriend]が#3に家を建てたので、お祝いに#2をプレゼントしようと思{う}。#1で届けてくれない{か}？
配達の依頼{だ}。なんに使うのか知らない{が}、[qClient]が#2を買い取りたいそう{だ}。#3まで配達してくれれば#1を払{う}。
知っていた{かな}？ #3に住む[qClient]が廃品を回収しているらしい{のだ}。#2を送ろうと思う{が}、面倒なので代わりに持っていって{くれ}。
#3に住む新進気鋭の[qClient]が、#2を研究しているそう{だ}。この#2を無事届けてくれれば、報酬として#1を払{う}。
#3に住む[qFriend]に、借りていた#2を届けてくれない{か}。報酬は#1{だ}。
長年の友好の証として、[qFriend]に#2を送ろうと思ってい{る}。#3まで運んでもらえない{か}？","Have you any plan to visit #3 by chance? I have my [qFriend] there I haven't seen in a long time. Can you deliver #2 for me?
Have you heard the news? The #2 fever is gripping the town of #3 and people are boiling with enthusiasm! My [qFriend] is crying and begging me to send one. Can you goto #3 and deliver this package for me?
Please deliver #2 to #3. If you manage to deliver it safely, you shall recieve the payment.
My [qFriend] has built a house in #3, so I'd like to send #2 as a celebratory gift. Could you deliver it for me?
I don't know what it will be used for, but some [qClient] wants to purchase my #2. If you deliver it to #3, you will be paid #1.
Some [qClient] who lives in #3 seems to be collecting waste. I'm thinking of sending shit load of my #2, but it's too much hassle for me. Can you take it there for me?
A promising [qClient] in #3 is researching #2. If you safely deliver this #2, you will be paid a reward of #1.
Could you deliver the #2 I borrowed back to my [qFriend] in #3? Your reward will be #1.
As a token of our longstanding friendship, I'm thinking of sending #2 to my [qFriend]. Could you transport it to #3 for me?",,,,
