id,alias,type,name_JP,name,ai,talk,area,destTrait,workTag,expedition,resources,randomRange,modifiers,tax,things,elements,skill,detail_JP,detail
40,Fish,Both,釣り,Fishing,Fish,farm,,SpotFish,,,"0,0,0",50,nature,100,"fish,1000",fRation/20,fishing,,
41,Explore,Both,探検,Exploration,,farm,,,,Explore,"0,0,0",50,safety,30,"money2,100",fPromo/15,travel,,
42,Chore,Both,雑用,Chores,Chore,farm,,,,,"0,0,0",50,culture,50,,,weightlifting,ホームの清掃,Clean the home
43,Smith,Work,鍛冶,Blacksmith,,farm,,Anvil,,,"0,0,0",50,industry,120,"ore,500,ore_gem,100",,blacksmith,,
44,Lumberjack,Work,木こり,Lumberjack,Lumberjack,farm,,SpotLumberjack,,,"0,0,0",50,industry,40,"log,1500",,lumberjack,,
45,Breeding,Pet,繁殖,Breeding,,farm,,,,,"0,0,0",50,nature,20,"_egg,66,milk,33",,negotiation,,
46,Supervising,Unique,監査,Supervising,,farm,,,,,"0,0,0",50,education,0,,fAdmin/20,investing,,
47,Assassination,Unique,暗殺,Assassination,,farm,,,,,"0,0,0",50,education,50,,fSafety/30,stealth,,
48,Rich,Hobby,散財,"Extravagance ",,farm,,,,,"0,0,0",50,education,400,,,appraising,高額納税,High tax
49,Gun,Hobby,ランボー,Rambo,,farm,,,,,"0,0,0",50,industry,30,"bullet,400,bullet_energy,50,arrow,500,quarrel,200",fSafety/-40,weaponGun,,
51,Rumor,Unique,噂話,Rumor,,farm,,,,,"0,0,0",50,nature,80,,"fPromo/25,fElec/40,fMoral/-10",meditation,,
52,TreasureHunt,Both,お宝さがし,Treasure Hunt,,farm,,,,,"0,0,0",50,fun,120,"map_treasure,2",,gathering,宝の自動取得(宝の地図が必要),Auto collect treasure (Requires treasure map)
53,Hoard,Unique,財宝集め,Hoarding,,farm,,,,,"0,0,0",50,fun,80,"money2,150,medal,10,ticket_fortune,10,gene,10,junk,300",,gathering,,
