id,uid,name_JP,name,_parent,recipeCat,slot,skill,maxStack,tileDummy,installOne,ignoreBless,tag,idThing,recycle,costSP,gift,deliver,offer,ticket,sortVal,flag
grain,129,穀物,Grain,foodstuff,food,_void,_void,999,0,0,2,,rice,"food,10",2,0,0,100,1,141,0
dough,128,練り粉,Dough,foodstuff,food,_void,_void,999,0,0,2,,dough_bread,"food,10",2,0,0,100,1,142,0
meat,31,肉,Meat,foodstuff,food,_void,_void,999,0,0,2,,meat,"food,10",2,0,0,100,1,143,0
vegi,32,野菜,Vegetable,foodstuff,food,_void,_void,999,0,0,2,,carrot,"food,10",2,0,0,100,1,144,0
fruit,33,果物,Fruit,foodstuff,food,_void,_void,999,0,0,2,,apple,"food,10",2,0,0,100,1,145,0
mushroom,34,きのこ,Mushroom,foodstuff,food,_void,_void,999,0,0,2,,mushroom,"food,10",2,0,0,100,1,146,0
egg,35,卵,Egg,foodstuff,food,_void,_void,999,0,0,2,,egg,"food,10",2,0,0,100,1,147,0
fish,36,魚,Fish,foodstuff,food,_void,_void,999,0,0,2,,75,"food,10",2,0,0,100,1,148,0
nuts,37,実,Nuts,foodstuff,food,_void,_void,999,0,0,2,,696,"food,10",2,0,0,100,1,149,0
seasoning,38,調味料,Seasoning,food,food,_void,_void,999,0,0,2,,salt,"food,10",2,0,0,100,1,160,0
_seasoning,130,調味料,Seasoning,seasoning,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,161,0
herb,132,ハーブ,Herb,seasoning,food,_void,_void,999,0,0,2,,herb_blue,"food,10",2,0,0,100,1,162,0
sauce,39,ソース,Sauce,seasoning,food,_void,_void,999,0,0,2,,sauce,"food,10",2,0,0,100,1,163,0
spice,40,スパイス,Spice,seasoning,food,_void,_void,999,0,0,2,,spice,"food,10",2,0,0,100,1,164,0
preserved,41,保存食,Preserved Food,food,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,165,0
foodstuff_raw,42,未加工食材,Raw Foodstuff,food,food,_void,_void,999,0,0,2,,,"food,10",2,0,0,100,1,166,0
drink,43,飲料,Drink,,food,_void,_void,999,0,0,0,,potion,"food,10",2,100,100,100,1,200,4
_drink,127,ポーション,Potion,drink,food,_void,_void,999,0,0,0,,potion,"food,10",2,100,100,100,1,201,0
booze,44,酒,Booze,drink,food,_void,_void,999,0,0,0,,crimAle,"food,10",2,100,100,100,1,202,0
milk,45,ミルク,Milk,drink,food,_void,_void,999,0,0,0,,milk,"food,10",2,100,100,100,1,203,0
drug,46,薬,Drug,drink,food,_void,_void,999,0,0,0,,drug,"food,10",2,100,100,100,1,204,0
weapon,47,武器,Weapon,,goods,_void,_void,1,0,0,0,,sword,"material,10",3,0,0,100,1,300,8
melee,48,近接武器,Melee Weapon,weapon,goods,hand,_void,1,0,0,0,,sword,"material,10",3,100,100,100,1,310,0
sword,49,長剣,Long Sword,melee,goods,hand,weaponSword,1,0,0,0,,,"material,10",3,0,0,100,1,320,0
dagger,50,短剣,Short Sword,melee,goods,hand,weaponDagger,1,0,0,0,,dagger,"material,10",3,0,0,100,1,325,0
blunt,51,鈍器,Blunt Weapon,melee,goods,hand,weaponBlunt,1,0,0,0,,,"material,10",3,0,0,100,1,330,0
staff,52,杖,Staff,melee,goods,hand,weaponStaff,1,0,0,0,,,"material,10",3,0,0,100,1,335,0
axe,53,斧,Axe,melee,goods,hand,weaponAxe,1,0,0,0,,,"material,10",3,0,0,100,1,340,0
polearm,54,棒,Polearm,melee,goods,hand,weaponPolearm,1,0,0,0,,,"material,10",3,0,0,100,1,350,0
scythe,55,鎌,Scythe,melee,goods,hand,weaponScythe,1,0,0,0,,,"material,10",3,0,0,100,1,355,0
martial,133,暗器,Martial Weapon,melee,goods,hand,martial,1,0,0,0,,,"material,10",3,0,0,100,1,360,0
ranged,56,射撃武器,Ranged Weapon,weapon,goods,_void,_void,1,0,0,0,,bow,"material,10",3,0,0,100,1,500,0
ammo,57,矢弾,Ammo,ranged,goods,_void,_void,999,0,0,1,fixedRarity,,"material,10",3,0,0,100,1,2000,0
bow,58,弓,Bow,ranged,goods,_void,weaponBow,1,0,0,0,randomRarity,,"material,10",3,100,100,100,1,510,0
crossbow,59,クロスボウ,Crossbow,ranged,goods,_void,weaponCrossbow,1,0,0,0,randomRarity,,"material,10",3,100,100,100,1,515,0
gun,60,銃,Gun,ranged,goods,_void,weaponGun,1,0,0,0,randomRarity,,"material,10",3,100,100,100,1,520,0
cane,61,ワンド,Cane,ranged,goods,_void,magicDevice,1,0,0,0,randomRarity,,"material,10",3,100,100,100,1,525,0
throw,62,投擲武器,Throwing Weapon,ranged,goods,_void,throwing,999,0,0,0,randomRarity,,"material,10",3,0,0,100,1,530,0
armor,63,防具,Armor,,goods,_void,_void,1,0,0,0,,armor_light,"material,10",3,100,100,100,1,600,16
torso,64,胴装備,Torso Gear,armor,goods,torso,_void,1,0,0,0,,shirt,"material,10",3,0,0,100,1,610,0
head,65,頭装備,Head Gear,armor,goods,head,_void,1,0,0,0,,helm,"material,10",3,0,0,100,1,605,0
back,66,背中装備,Back Gear,armor,goods,back,_void,1,0,0,0,,,"material,10",3,0,0,100,1,606,0
waist,67,腰装備,Waist Gear,armor,goods,waist,_void,1,0,0,0,,,"material,10",3,0,0,100,1,615,0
arm,68,腕装備,Arm Gear,armor,goods,arm,_void,1,0,0,0,,,"material,10",3,0,0,100,1,620,0
foot,69,足装備,Foot Gear,armor,goods,foot,_void,1,0,0,0,,,"material,10",3,0,0,100,1,625,0
finger,70,指装備,Finger Gear,armor,goods,finger,_void,1,0,0,0,,,"material,10",3,0,0,100,1,630,0
ring,71,指輪,Ring,finger,goods,finger,_void,1,0,0,0,,,"material,10",3,0,0,100,1,631,0
neck,72,首装備,Neck Gear,armor,goods,neck,_void,1,0,0,0,,,"material,10",3,0,0,100,1,635,0
amulet,73,首輪,Amulet,neck,goods,neck,_void,1,0,0,0,,,"material,10",3,0,0,100,1,636,0
shield,74,盾,Shield,armor,goods,hand,shield,1,0,0,0,,,"material,10",3,0,0,100,1,640,0
toolbelt,75,ツールベルト,Toolbelt,armor,goods,toolbelt,_void,1,0,0,0,fixedRarity,,"material,10",3,0,0,100,1,680,0
lightsource,76,光源,Light Source,armor,light,lightsource,_void,1,0,0,0,fixedRarity,,"material,10",3,0,0,100,1,681,0
furniture,77,家具,Furniture,,furniture,_void,_void,999,1,1,1,,bed,"material,10",4,100,0,100,1,800,32
_furniture,126,家具,Furniture,furniture,furniture,_void,_void,999,1,1,1,,,"material,10",4,0,100,100,1,801,0
container,78,コンテナ,Container,furniture,storage,_void,_void,1,1,1,1,enc,,"material,10",4,0,0,100,1,1,0
window,79,窓,Window,furniture,door,_void,_void,999,1,1,1,enc,,"material,10",2,0,0,100,1,701,0
light,80,照明,Lighting,furniture,light,_void,_void,999,1,1,1,enc,candle6,"material,10",2,0,0,100,1,702,0
deco,81,装飾,Decoration,furniture,deco,_void,_void,999,1,1,1,enc,,"material,10",4,0,100,100,1,703,0
plantpot,82,鉢植え,Plant Pot,furniture,deco,_void,_void,999,1,1,1,enc,,"material,10",2,0,100,100,1,704,0
facility,83,設備,Facility,furniture,facility,_void,_void,999,1,1,1,enc,,"material,10",5,0,0,100,5,705,0
crafter,84,製作設備,Crafter,furniture,facility,_void,_void,999,1,1,1,enc,,"material,10",5,0,0,100,20,706,0
processor,85,加工設備,Processor,furniture,facility,_void,_void,999,1,1,1,enc,,"material,10",5,0,0,100,20,707,0
generator,86,発電機,Generator,furniture,facility,_void,_void,999,1,1,1,enc,,"material,10",5,0,0,100,20,708,0
mount,87,マウント,Hanging,furniture,mount,_void,_void,999,1,1,1,enc,,"material,10",3,0,0,100,1,709,0
ext,88,屋外用品,Exterior,furniture,ext,_void,_void,999,1,1,1,enc,,"material,10",4,0,0,100,1,710,0
mech,89,機工,Mech,furniture,mech,_void,_void,999,1,1,1,enc,,"material,10",4,0,0,100,1,711,0
util,90,特殊,Utility,furniture,spot,_void,_void,999,1,1,1,enc,,"material,10",4,0,0,100,1,712,0
bed,91,ベッド,Bed,furniture,furniture,_void,_void,999,1,1,1,enc,,"material,10",4,0,100,100,1,713,0
chair,92,椅子,Chair,furniture,furniture,_void,_void,999,1,1,1,enc,chair,"material,10",3,0,100,100,1,714,0
table,93,机,Table,furniture,furniture,_void,_void,999,1,1,1,enc,table,"material,10",3,0,100,100,1,715,0
door,94,扉,Door,furniture,door,_void,_void,999,1,1,1,enc,,"material,10",2,0,0,100,1,716,0
card,95,カード,Card,furniture,ext,_void,_void,999,0,1,1,,,"material,10",4,0,0,100,1,717,0
figure,96,フィギア,Figure,furniture,ext,_void,_void,999,0,1,1,enc,,"material,10",4,0,0,100,1,718,0
item,97,アイテム,Item,,goods,_void,_void,999,0,0,1,,bait,"material,10",3,0,0,100,1,1400,128
_item,123,アイテム,Item,item,goods,_void,_void,999,0,0,1,,,"material,10",3,0,0,100,1,1401,0
rune,134,ルーン,Rune,item,goods,_void,_void,999,0,0,1,noEnc,,"material,10",4,0,0,100,1,1410,0
mod,135,改造道具,Mod,item,goods,_void,_void,999,0,0,1,,,"material,10",4,0,0,100,1,1411,0
bait,98,餌,Bait,item,goods,_void,_void,999,0,0,1,,,"material,10",1,0,0,100,1,1420,0
book,99,本,Book,,goods,_void,_void,999,0,0,1,,book,"knowledge,10",3,100,0,100,1,720,64
_book,124,本,Book,book,goods,_void,_void,999,0,0,1,,,"knowledge,10",3,0,0,100,1,721,0
scroll,100,巻物,Scroll,book,goods,_void,_void,999,0,0,0,,scroll,"knowledge,10",3,0,0,100,1,722,0
ancientbook,101,古の書,Ancient Book,book,goods,_void,_void,1,0,0,0,,book_ancient,"knowledge,10",3,0,0,500,1,723,0
spellbook,102,魔法書,Spell Book,book,goods,_void,_void,1,0,0,0,,spellbook,"knowledge,10",3,0,100,400,1,724,0
skillbook,103,技術書,Skill Book,book,goods,_void,_void,999,0,0,0,,,"knowledge,10",3,0,0,1000,1,725,0
map,104,地図,Map,book,goods,_void,_void,1,0,0,0,,map,"knowledge,10",3,0,0,400,1,726,0
other,105,その他,Other,,goods,_void,_void,999,0,0,1,,junk,"material,10",3,0,0,100,1,1000,512
junk,106,ジャンク,Junk,other,junk,_void,_void,999,0,0,1,dye,,"material,10",3,100,100,100,1,1300,0
globe,107,地球儀,Globe,other,junk,_void,_void,999,0,0,1,enc,157,"material,10",3,100,100,100,1,1301,0
pot,108,鍋,Pot,other,junk,_void,_void,999,0,0,1,,150,"material,10",3,100,100,100,1,1302,0
souvenir,109,お土産,Souvenir,other,junk,_void,_void,999,0,0,1,,815,"material,10",3,100,100,100,1,1303,0
garbage,110,ゴミ,Garbage,other,junk,_void,_void,999,0,0,1,dye,trash2,"material,10",3,0,100,100,1,1304,0
chara,111,キャラ,Chara,other,other,_void,_void,999,0,0,1,,,"material,10",3,0,0,100,1,1305,0
bill,112,請求書,Bill,other,goods,_void,_void,1,0,0,1,,,"knowledge,10",3,0,0,100,1,1306,0
valuable,113,貴重品,Valuable,other,goods,_void,_void,999,0,0,1,,,"material,10",3,0,0,100,1,900,0
ability,114,アビリティー,Ability,other,goods,_void,_void,999,0,0,1,,,"material,10",3,0,0,100,1,1307,0
trap,120,罠,Trap,other,mech,_void,_void,999,1,1,1,,trap,"material,10",4,0,0,100,1,1700,0
tool,115,ツール,Tool,,tool,_void,_void,999,0,0,0,,lute,"material,10",3,0,0,100,10,1400,1024
_tool,125,ツール,Tool,tool,tool,_void,_void,999,0,0,0,,,"material,10",3,0,0,100,10,1401,0
instrument,116,楽器,Instrument,tool,tool,_void,_void,1,0,0,0,enc,lute,"material,10",3,100,100,500,1,1402,0
rod,117,魔法杖,Rod,tool,goods,_void,_void,1,0,0,0,,,"material,10",3,0,0,300,1,1403,0
catalyst,118,触媒,Catalyst,tool,goods,_void,_void,1,0,0,0,,,"material,10",3,0,0,300,1,1404,0
currency,119,通貨,Currency,,goods,_void,_void,999,0,0,1,,money,"material,10",3,0,0,100,1,1800,256
