id,alias,name_JP,name,_growth,costSoil,objType,vals,tag,sort,reqHarvest,hp,_tileType,valType,_idRenderData,tiles,snowTile,colorMod,colorType,value,LV,chance,recipeKey,factory,components,defMat,matCategory,category,idRoof,detail_JP,detail
17,palulu,パルルの木,palulu tree,"Tree,610,401,790,1",20,crop,24,seed,47,"lumberjack,1",100,Tree,Growth,obj_LV,612,-1,0,,10,1,100,,,log,palm,,obj,0,,
18,,鉱脈,ore,,0,resource,,"mat_name,crime",54,"mining,10",150,WallMount,Material,block mount,600,0,100,,10,30,100,,factory_block,ore/2,iron,,obj,0,,
19,,貴鉱脈,gem ore,,0,resource,,"mat_name,crime",55,"mining,20",150,WallMount,Material,block mount,601,0,100,,10,30,100,,factory_block,gem,gold,,obj,0,,
20,,水蓮,water lily,,0,resource,,,56,"gathering,1",100,ObjWaterTop,Material,obj_S flat,"24,25",0,0,,10,30,100,,factory_floor,leaf,grass,,obj,0,,
21,,木の支柱,wall support,,0,resource,,crime,57,"gathering,1",100,WallMount,Material,support,"604,605,606,-606",0,100,,10,1,100,,x,-,oak,,obj,0,,
22,,屋根,roof,,0,resource,,,1000,"gathering,1",100,Roof,Material,roof,"100,101,102,103,108,109",0,60,,10,1,100,,x,-,oak,,obj,7,,
23,,窓,window,,0,resource,,crime,58,"gathering,1",100,WallMount,Material,block mount,605,0,100,,10,1,100,,x,-,oak,,obj,0,,
24,,木枠,wall frame,,0,resource,,crime,59,"gathering,1",100,WallMount,Material,support,"414,415,416",0,100,,10,20,100,,factory_block,log,oak,,obj,0,,
25,,舗装,road,,0,resource,,"snowTile,rail,crime",62,"digging,1",100,Road,Material,floor_obj,"1013,1014,1015,1016",0,100,,10,10,100,,factory_floor,rock,granite,,obj,0,,
26,,屋根2,roof2,,0,resource,,,1001,"gathering,1",100,Roof,Material,roof,"200,201,202,203,208,209",0,60,,10,1,100,,x,-,oak,,obj,37,,
27,,屋根3,roof3,,0,resource,,,1002,"gathering,1",100,Roof,Material,roof,"300,301,302,303,308,309",0,60,,10,1,100,,x,-,oak,,obj,38,,
28,,屋根4,roof4,,0,resource,,,1003,"gathering,1",100,Roof,Material,roof,"400,401,402,403,408,409",0,60,,10,1,100,,x,-,oak,,obj,39,,
29,,屋根5,roof5,,0,resource,,,1004,"gathering,1",100,Roof,Material,roof,"500,501,502,503,508,509",0,60,,10,1,100,,x,-,oak,,obj,40,,
30,,屋根6,roof6,,0,resource,,,1005,"gathering,1",100,Roof,Material,roof,"600,601,602,603,608,609",0,60,,10,1,100,,x,-,oak,,obj,41,,
31,,線路,track,,0,resource,,"autotile,rail,crime",1017,"digging,1",100,Road,Material,obj road,3600,0,100,,10,30,100,,factory_floor,log,pine,,obj,0,,
32,,裂け目,chasm,,0,resource,,autotile,1022,"digging,1",100,Chasm,Material,obj road chasm,3700,0,100,,10,30,100,,factory_floor,rock,granite,,obj,0,,
33,,石の小道,stone road,,0,resource,,"snowTile,autotile,rail,crime",1023,"digging,1",100,Road,Material,obj road,3616,0,100,,10,20,100,,factory_floor,rock,granite,,obj,0,,
34,wreck_stone,残骸,wreck,,0,resource,,spot,1024,"gathering,1",100,Obj,,obj,761,0,100,,10,1,100,,,rock/5,granite,rock,obj,0,,
35,wheat,麦,wheat,"Wheat,200,300,wheat,2",30,crop,2,"crop,seed,flood",1033,"gathering,1",100,Obj,,obj wheat,300,0,0,,10,1,100,,,grass,grass,,obj,0,,
36,raddish,大根,radish,"Crop,215,315,radish,2",40,crop,15,"crop,seed,harvest,wild",1035,"gathering,1",100,Obj,,obj wheat,315,0,0,,10,1,100,,,leaf,grass,,obj,0,,
37,test,テスト植物,test,,0,resource,,,1036,"gathering,1",100,Obj,,obj wheat,103,0,0,,10,1,100,,,leaf,grass,,obj,0,,
38,cabbage,キャベツ,cabbage,"Crop,220,321,cabbage,3",40,crop,7,"crop,seed,harvest,wild",1037,"gathering,1",100,Obj,,obj wheat,321,0,0,,10,1,100,,,leaf,grass,,obj,0,,
39,tomato,トマト,tomato,"Crop,210,310,tomato,4",30,crop,8,"crop,seed,harvest",1039,"gathering,1",100,Obj,,obj wheat,310,0,0,,10,1,100,,,leaf,grass,,obj,0,,
40,carrot,にんじん,carrot,"Crop,215,316,carrot,3",30,crop,5,"crop,seed,harvest,wild",1041,"gathering,1",100,Obj,,obj wheat,316,0,0,,10,1,100,,,leaf,grass,,obj,0,,
41,potato,イーモ,imo,"Crop,220,320,potato,3",30,crop,4,"crop,seed,harvest,wild",1042,"gathering,1",100,Obj,,obj wheat,320,0,0,,10,1,100,,,leaf,grass,,obj,0,,
42,corn,とうもろこし,corn,"Crop,210,311,corn,3",40,crop,3,"crop,seed,harvest",1044,"gathering,1",100,Obj,,obj wheat,311,0,0,,10,1,100,,,leaf,grass,,obj,0,,
43,,小道,road,,0,resource,,"autotile,rail,crime",1047,"digging,1",100,Road,Material,obj road,3500,0,100,,10,10,100,,factory_floor,chunk,soil,,obj,0,,
44,,細い小道,narrow road,,0,resource,,"autotile,rail,crime",1048,"digging,1",100,Road,Material,obj road,3516,0,100,,10,10,100,,factory_floor,chunk,soil,,obj,0,,
45,,塊,chunk,,0,resource,,,1051,"gathering,1",50,Obj,,obj_S flat,"27,28,29",0,100,,10,1,100,,,chunk,soil,,obj,0,,
46,wreck_wood,残骸,wreck,,0,resource,,spot,1053,"gathering,1",100,Obj,,obj,760,0,100,,10,1,100,,,log/5,oak,,obj,0,,
47,,青のマッシュルームツリー,mushroom tree,"Tree,605",5,tree,34,seed,33,"lumberjack,1",100,Tree,Material,obj_LV,607,-1,100,alt,10,1,100,,,log,wood_acacia,,obj,0,,
48,nest_bird,鳥の巣,bird's nest,,0,resource,,,17,"gathering,1",100,Obj,,obj_S flat,"5,6",0,0,,10,1,100,,,grass,straw,,obj,0,,
49,fruit,林檎の木,apple tree,"Tree,800,403,apple,3",30,crop,13,seed,50,"lumberjack,1",100,Tree,Growth,obj_LV,802,-1,100,alt,10,1,100,,,log,poplar,,obj,0,,
50,,ベリー,berry,"Berry,220,321,berry,3",10,crop,9,seed,25,"gathering,1",100,Obj,Growth,obj_S,222,0,0,,10,1,100,,,"leaf,branch",grass,,obj,0,,
51,,大きな岩,big rock,,0,resource,,mat_name,1054,"mining,10",100,ObjBig,,obj_S flat,"124,125,126",0,100,,10,10,100,,factory_floor,ore/4,copper,ore,obj,0,,
52,,骨,bone,,0,resource,,,1059,"gathering,1",100,Obj,,obj_S flat,"116,117,118,119,120",0,100,,10,10,100,,factory_floor,bone,bone,,obj,0,,
53,rosewood,ローズウッドの木,rosewood tree,"Tree,810",5,tree,30,seed,36,"lumberjack,1",100,Tree,Material,obj_LV,812,-1,100,alt,10,1,100,,,log,rosewood,,obj,0,,
54,fir,モミの木,fir tree,"Tree,615",5,tree,22,seed,39,"lumberjack,1",100,Tree,Material,obj_LV,617,0,100,alt,10,1,100,,,log,fir,,obj,0,,
55,cedar,杉の木,cedar tree,"Tree,815",5,tree,29,seed,40,"lumberjack,1",100,Tree,Material,obj_LV,817,0,100,alt,10,1,100,,,log,cedar,,obj,0,,
56,birch,樺の木,birch tree,"Tree,1200",5,tree,21,seed,44,"lumberjack,1",100,Tree,Material,obj_LV,1202,-1,100,alt,10,1,100,,,log,wood_birch,,obj,0,,
57,pine,パインの木,pine tree,"Tree,1205",5,tree,25,seed,45,"lumberjack,1",100,Tree,Material,obj_LV,1207,-1,100,alt,10,1,100,,,log,pine,,obj,0,,
58,oak,オークの木,oak tree,"Tree,1210",5,tree,23,seed,46,"lumberjack,1",100,Tree,Material,obj_LV,1212,-1,100,alt,10,1,100,,,log,oak,,obj,0,,
59,burnt,燃え尽きた木,burnt tree,,0,resource,,,53,"lumberjack,1",100,Tree,Material,obj_LV,"110,111,310,311",0,100,,10,1,100,,,log,carbone,,obj,0,,
60,,苔,moss,,0,resource,,,1065,"gathering,1",100,Obj,,floor_obj,"1000,1001",1,300,,10,10,100,,factory_floor,grass,grass,,obj,0,,
61,,蔓,vine bush,,0,resource,,,26,"gathering,1",100,Obj,,obj_S,225,0,0,,10,10,100,,factory_floor,vine/4,grass,,obj,0,,
62,,朽ちた化石樹,decayed fossil tree,,0,resource,,,1062,"mining,10",100,ObjBig,,obj_LV,"1800,1801,1803,1804",0,0,,10,40,100,,factory_floor,log,bone,,obj,0,,
63,,化石樹,fossil tree,,0,resource,,crime,1063,"mining,20",100,Tree,,obj_LV,"1805,1806",0,0,,10,40,100,,factory_floor,log/2,bone,,obj,0,,
64,,大きな化石樹,big fossil tree,,0,resource,,,1064,"mining,50",100,Tree,,obj_LV,1802,0,0,,10,40,100,,factory_floor,log/3,bone,,obj,0,,
65,,朽ちた化石,decayed fossil,,0,resource,,,1067,"gathering,1",100,Obj,,floor_obj,"1003,1004,1005",0,0,,10,40,100,,factory_floor,fragment,bone,,obj,0,,
66,,係船柱,bollard,,0,resource,,crime,1068,"gathering,1",100,ObjBig,Material,obj_S,"127,128",0,100,,10,30,100,,factory_floor,rock,granite,,obj,0,,
67,,屋根7,roof7,,0,resource,,,1006,"gathering,1",100,Roof,Material,roof,"700,701,702,703,708,709",0,60,,10,1,100,,x,-,oak,,obj,126,,
68,fish,魚影,"fish silhouette ",,0,resource,,,1069,"gathering,1",100,Obj,Material,obj_S fish,700,0,0,,10,30,100,,factory_floor,bone,bone,,obj,0,,
69,mahogany,マホガニーの木,mahogany tree,"Tree,800",5,tree,26,seed,37,"lumberjack,1",100,Tree,Material,obj_LV,802,-1,100,alt,10,1,100,,,log,mahogany,,obj,0,,
70,acacia,アカシアの木,acacia tree,"Tree,1215",5,tree,31,seed,38,"lumberjack,1",100,Tree,Material,obj_LV,1217,-1,100,alt,10,1,100,,,log,wood_acacia,,obj,0,,
71,,欠けた床,cracked floor,,0,resource,,,63,"digging,1",100,Road,Material,floor_obj,"1007,1008,1009,1010",0,100,,10,20,100,,factory_floor,chunk,soil,,obj,0,,
72,,切り株,stump,,0,resource,,,1070,"lumberjack,5",100,Obj,Material,obj_S flat,129,0,100,,10,10,100,,factory_floor,log/2,oak,wood,obj,0,,
73,,海藻,seaweed,,10,resource,,,27,"gathering,1",100,ObjWater,,obj_S,"230,231,232,233,234",0,0,,10,20,100,,factory_floor,"seaweed,seaweed,vine",grass,,obj,0,,
74,,貝殻,shell,,0,resource,,,28,"gathering,1",100,ObjWater,,obj_S flat,"130,131,132,133,134,135",0,0,,10,20,100,,factory_floor,fragment,bone,,obj,0,,
75,,珊瑚,coral,,0,resource,,,29,"gathering,1",100,ObjWater,,obj_S,"235,236,237,238,239,240,241",0,0,,10,20,100,,factory_floor,fragment,coral,,obj,0,,
76,willow,柳の木,willow tree,"Tree,1005",5,tree,28,seed,41,"lumberjack,1",100,Tree,Material,obj_LV,1007,-1,100,alt,10,1,100,,,log,willow,,obj,0,,
77,cherry,桜の木,cherry blossom tree,"Tree,1000",5,tree,27,seed,43,"lumberjack,1",100,Tree,Material,obj_LV,1002,-1,100,alt,10,1,100,,,log,cherryblossom,,obj,0,,
78,grape,葡萄,grape,"Crop,225,325,grape,1",50,crop,6,"crop,seed,harvest",1045,"gathering,1",100,Obj,,obj wheat,325,0,0,,10,1,100,,,leaf,grass,,obj,0,,
79,,落ち葉,pile of fallen leaves,,0,resource,,,1066,"gathering,1",100,Obj,,floor_obj,"1100,1101,1102,1103",1,100,alt,10,20,100,,factory_floor,grass|log,cherryblossom,,obj,0,,
80,,For Test,For Test,,0,resource,,,1072,"gathering,1",100,Obj,,obj_S flat,"2,3,4,7,8,9,10,11",0,0,,10,1,100,,,log,oak,,obj,0,,
81,cotton,コットン,cotton,"Crop,230,330,fiber,3",20,plant,20,"crop,seed,flower,wild",1046,"gathering,1",100,Obj,,obj wheat,330,0,0,,10,1,100,,,leaf,grass,,obj,0,,
82,,亡骸,remain,,0,resource,,,1073,"gathering,1",100,Obj,,obj,"653,652,656,657,658,659",0,100,,10,1,100,,,bone,bone,,obj,0,,
83,wreck_junk,残骸,wreck,,0,resource,,spot,1074,"gathering,1",100,Obj,,obj,660,0,100,,10,1,100,,,bone/5,bone,,obj,0,,
84,mound,盛り上がった土,mound,,0,resource,,spot,1052,"digging,5",50,Obj,,floor_obj,1104,0,100,,10,1,100,,,chunk,soil,,obj,0,,
85,wreck_scrap,残骸,wreck,,0,resource,,spot,1025,"gathering,1",100,Obj,,obj,762,0,100,,10,1,100,,,"scrap/3,scrap/3,battery,microchip",iron,,obj,0,,
86,wreck_cloth,残骸,wreck,,0,resource,,spot,1026,"gathering,1",100,Obj,,obj,759,0,100,,10,1,100,,,fiber/3,cotton,fiber,obj,0,,
87,wreck_precious,残骸,wreck,,0,resource,,spot,1027,"gathering,1",100,Obj,,obj,758,0,100,,10,1,100,,,gem/2,lapis,gem,obj,0,,
88,rice,稲,rice,"Rice,205,305,rice_plant,2",30,crop,1,"crop,seed,flood",1034,"gathering,1",100,Obj,,obj wheat,305,0,0,,10,1,100,,,grass,grass,,obj,0,,
89,,白線,white line,,0,resource,,"autotile,rail,crime",1049,"digging,1",100,Road,Material,obj road,3416,0,100,,10,30,100,,factory_floor,chunk,sand_white,,obj,0,,
90,,万色フルーツ,rainbow fruit,"Cactus,245,345,779,1",80,crop,36,"seed,rareSeed",21,"gathering,1",100,Obj,Growth,obj wheat,345,0,0,,10,1,100,,,leaf,oak,,obj,0,,
91,,岩塩,salt rock,,0,resource,,,1057,"mining,5",100,Obj,,obj_S flat,"136,137,138",0,100,,10,1,100,,,"salt/3,rock/3",limestone,,obj,0,,
92,,枠,border,,0,resource,,autotile,1021,"digging,1",100,Road,Material,obj road,3716,0,100,,10,30,100,,,rock,granite,,obj,0,,
93,,石筍,"stalagmite ",,0,resource,,mat_name,1056,"mining,5",100,ObjBig,,obj,"5,6,7",0,100,,10,20,100,,factory_floor,"rock,rock,pebble",granite,rock,obj,0,,
94,,朽木,decayed tree,,0,resource,,,1071,"lumberjack,10",100,ObjBig,Material,obj,"15,14",0,100,,10,20,100,,factory_floor,log/2,oak,wood,obj,0,,
95,,崩れた壁,decayed wall,,0,resource,,,1075,"gathering,1",100,ObjBig,Material,block,"1300,-1300,1301,-1301,1302,-1302",0,100,,10,30,100,,factory_wall,rock/2,granite,,obj,0,,
96,,崩れた壁,decayed wall,,0,resource,,,1076,"gathering,1",100,ObjBig,Material,block,"1304,-1304,1305,-1305,1306,-1306,1307,-1307",0,100,,10,30,100,,factory_wall,rock/2,granite,,obj,0,,
97,,線路,track,,0,resource,,"rail,crime",1019,"digging,1",100,Road,Material,ramp,"1616,-1616,1617,-1617",0,100,,10,30,100,,factory_floor,log,pine,,obj,0,,
98,,線路,track,,0,resource,,"rail,crime",1020,"digging,1",100,Road,Material,ramp,"1618,-1618,1619,-1619",0,100,,10,30,100,,factory_floor,log,pine,,obj,0,,
99,,ガマ,cattail,"Weed,16",10,crop,35,seed,13,"gathering,1",100,Obj,,obj,18,0,100,,10,1,100,,,"grass/2,leaf/2",grass,,obj,0,,
100,,巨大な岩,huge rock,,0,resource,,"hard,mat_name",1055,"mining,50",100,ObjHuge,,obj,757,0,100,,10,40,100,,factory_floor,rock/8,granite,rock,obj,0,,
101,,木枠,wall frame,,0,resource,,crime,60,"gathering,1",100,WallMount,Material,support,203,0,100,,10,20,100,,factory_block,log,oak,,obj,0,,
102,,硫黄岩,sulfur rock,,0,resource,,,1058,"mining,5",100,Obj,,obj_S flat,"139,140,141",0,0,,10,1,100,,,sulfur/2,silt,,obj,0,,
103,bamboo,竹,bamboo,"Tree,1010",10,crop,38,seed,42,"lumberjack,1",100,Tree,Material,obj_LV,1012,-1,100,alt,10,1,100,,,log,bamboo,,obj,0,,
104,,アピ,api,"Berry,240,340,696,3",20,crop,37,"seed,wild",23,"gathering,1",100,Obj,Growth,obj wheat,340,0,0,,10,1,100,,,"leaf,branch",grass,,obj,0,,
105,pasture,牧草,pasture,"Pasture,250,250,pasture,1",5,crop,39,"crop,seed",1028,"gathering,1",100,Obj,,obj wheat,253,0,0,,10,1,100,,,grass,grass,,obj,0,,
106,,枠,wall frame,,0,resource,,crime,61,"gathering,1",100,WallMount,Material,support,"417,418,419,420",0,100,,10,20,100,,factory_block,scrap,copper,,obj,0,,
107,,化学物質,chemicals,,0,resource,,,64,"gathering,5",100,Road,Material,floor_obj,"918,919,920,921,922",0,100,,10,20,100,,x,"water_dirty,water_dirty,potion",glass,,obj,0,,
108,susuki,ススキ,silver grass,"Pasture,50,50,pasture,1",5,crop,40,"crop,seed",1029,"gathering,1",100,Obj,,obj wheat,53,0,0,,10,1,100,,,grass,grass,,obj,0,,
109,,デブリ,debris,,0,resource,,,65,"mining,5",100,Road,Material,floor_obj,"1018,1019,1020,1021",0,100,,10,20,100,,factory_floor,scrap,iron,,obj,0,,
110,,ベルトコンベア,conveyor belt,,0,resource,,"autotile,rail,crime",1018,"digging,1",100,Road,Material,obj road,3800,0,100,,10,40,100,,factory_floor,scrap,chromite,,obj,0,,
111,,破片,fragments,,0,resource,,,66,"gathering,5",100,Road,Material,floor_obj,"1024,1025,1026",0,100,,10,20,100,,factory_floor,fragment,glass,,obj,0,,
112,banana,バナナの木,banana tree,"Tree,415,407,787,2",20,crop,42,seed,48,"lumberjack,1",100,Tree,Growth,obj_LV,417,-1,0,,10,1,100,,,log,palm,,obj,0,,
113,fruit_orange,蜜柑の木,orange tree,"Tree,800,405,orange,3",30,crop,43,seed,51,"lumberjack,1",100,Tree,Growth,obj_LV,802,-1,100,alt,10,1,100,,,log,poplar,,obj,0,,
114,fruit_pear,梨の木,pear tree,"Tree,800,408,117,3",30,crop,44,seed,52,"lumberjack,1",100,Tree,Growth,obj_LV,802,-1,100,alt,10,1,100,,,log,poplar,,obj,0,,
115,,赤い草,red grass,"Herb,145,0,herb_red,1",20,crop,50,"seed,scale",5,"gathering,1",50,Obj,,obj_S flat,147,0,0,,10,1,100,,,leaf,grass,,obj,0,,
116,,青い草,blue grass,"Herb,245,0,herb_blue,1",20,crop,47,"seed,scale",6,"gathering,1",50,Obj,,obj_S flat,247,0,0,,10,1,100,,,leaf,grass,,obj,0,,
117,,紫の草,purple grass,"Herb,345,0,herb_purple,1",20,crop,48,"seed,scale",7,"gathering,1",50,Obj,,obj_S flat,347,0,0,,10,1,100,,,leaf,grass,,obj,0,,
118,feywood,フェイウッドの木,feywood tree,"TreeFeywood,215",100,tree,46,"seed,rareSeed",34,"lumberjack,1",100,Tree,Material,obj_LV,217,-1,100,alt,10,1,100,,,log,feywood,,obj,0,,
119,coralwood,コーラルウッドの木,coralwood tree,"TreeCoralwood,220",70,tree,45,"seed,rareSeed",35,"lumberjack,1",100,Tree,Material,obj_LV,"220,221,222,223",-1,100,alt,10,1,100,,,log,coralwood,,obj,0,,
120,,白い花,white flower,"Flower,315,0,flower_white,1",10,crop,16,"seed,flower",9,"gathering,1",50,Obj,,obj_S flat,317,0,0,,10,1,100,,,leaf,grass,,obj,0,,
121,,シダ,fern,"Deco,21/22",10,crop,57,seed,14,"gathering,1",100,Obj,,obj,"21,22",0,100,,10,1,100,,,"grass/2,leaf/2",grass,,obj,0,,
122,,コフィ,coffee,"Berry,45,145,coffee_bean,2",40,crop,56,seed,24,"gathering,1",100,Obj,Growth,obj wheat,145,0,0,,10,1,100,,,"leaf,branch",grass,,obj,0,,
123,tobacco,タバック,tobacc,"Crop,040,140,herb_tobacco,3",60,crop,58,"crop,seed",1043,"gathering,1",100,Obj,,obj wheat,240,0,0,,10,1,100,,,leaf,grass,,obj,0,,
124,,屋根8,roof8,,0,resource,,,1007,"gathering,1",100,Roof,Material,roof,"800,801,802,803,808,809",0,60,,10,1,100,,x,-,oak,,obj,175,,
125,,屋根9,roof9,,0,resource,,,1008,"gathering,1",100,Roof,Material,roof,"900,901,902,903,908,909",0,60,,10,1,100,,x,-,oak,,obj,176,,
126,,屋根10,roof10,,0,resource,,,1009,"gathering,1",100,Roof,Material,roof,"1000,1001,1002,1003,1008,1009",0,60,,10,1,100,,x,-,oak,,obj,177,,
127,,緑の草,green grass,"Herb,45,0,herb_green,1",20,crop,49,"seed,scale",8,"gathering,1",50,Obj,,obj_S flat,47,0,0,,10,1,100,,,leaf,grass,,obj,0,,
128,,屋根11,roof11,,0,resource,,,1010,"gathering,1",100,Roof,Material,roof,"1100,1101,1102,1103,1108,1109",0,60,,10,1,100,,x,-,oak,,obj,178,,
129,,屋根12,roof12,,0,resource,,,1011,"gathering,1",100,Roof,Material,roof,"1200,1201,1202,1203,1208,1209",0,60,,10,1,100,,x,-,oak,,obj,179,,
130,,屋根13,roof13,,0,resource,,,1012,"gathering,1",100,Roof,Material,roof,"1300,1301,1302,1303,1308,1309",0,60,,10,1,100,,x,-,oak,,obj,180,,
131,,屋根14,roof14,,0,resource,,,1013,"gathering,1",100,Roof,Material,roof,"1400,1401,1402,1403,1408,1409",0,60,,10,1,100,,x,-,oak,,obj,181,,
132,,屋根15,roof15,,0,resource,,,1014,"gathering,1",100,Roof,Material,roof,"1500,1501,1502,1503,1508,1509",0,60,,10,1,100,,x,-,oak,,obj,182,,
133,,屋根16,roof16,,0,resource,,,1015,"gathering,1",100,Roof,Material,roof,"1600,1601,1602,1603,1608,1609",0,60,,10,1,100,,x,-,oak,,obj,183,,
134,,屋根17,roof17,,0,resource,,,1016,"gathering,1",100,Roof,Material,roof,"1700,1701,1702,1703,1708,1709",0,60,,10,1,100,,x,-,oak,,obj,184,,
135,,ネオンライン,neon line,,0,resource,,"autotile,rail,crime",1050,"digging,1",100,Road,Material,obj road,3316,0,100,,10,30,100,,factory_floor,ingot,saphire,,obj,0,,
136,,珊瑚礁,coral reef,,0,resource,,,30,"gathering,1",100,ObjWater,,obj,"3220,3221,3222,3223",0,0,,10,45,100,,factory_floor,fragment,coral,,obj,0,,
137,,深海藻,deep seaweed,"Seaweed,150,150,seaweed,1",40,crop,51,"crop,seed,undersea",1032,"gathering,1",100,Obj,,obj wheat,153,0,100,,10,1,100,,,grass,grass,,obj,0,,
138,,カボチ,cabocchi,"Crop,220,322,783,3",40,crop,54,"crop,seed,harvest,wild",1038,"gathering,1",100,Obj,,obj wheat,322,0,0,,10,1,100,,,leaf,grass,,obj,0,,
139,himawari,ひまわり,sunflower,"SunFlower,55,0,flower_himawari,1",12,crop,53,"seed,flower",1030,"gathering,1",100,Obj,,obj wheat,57,0,0,,10,1,100,,,grass,grass,,obj,0,,
140,tulip_red,チューリップ,tulip,"SunFlower,59,0,flower_tulip,1",14,crop,59,"seed,flower",1031,"gathering,1",100,Obj,,obj wheat,61,0,0,,10,1,100,,,grass,grass,,obj,0,,
141,redpepper,トウガラシ,red pepper,"Crop,210,312,pepper_red,2",60,crop,52,"crop,seed",1040,"gathering,1",100,Obj,,obj wheat,312,0,0,,10,1,100,,,leaf,grass,,obj,0,,
142,,骨塚,bone mound,,0,resource,,,1060,"gathering,1",100,Obj,,obj flat,"6100,6101,6102,6103",0,100,,10,30,100,,factory_floor,bone,bone,,obj,0,,
143,,竜骨,bone,,0,resource,,,1061,"gathering,1",100,Obj,,obj tall,"6106,6107,6108,6109,6110",0,100,,10,40,100,,,log,bone,,obj,0,,
