id,name_JP,unknown_JP,unit_JP,naming,name,unit,unknown,category,***,sort,_tileType,_idRenderData,tiles,altTiles,anime,skins,size,colorMod,colorType,recipeKey,factory,components,disassemble,defMat,tierGroup,value,LV,chance,quality,HP,weight,electricity,trait,elements,range,attackType,offense,substats,defense,lightData,idExtra,idToggleExtra,idActorEx,idSound,tag,workTag,filter,roomName_JP,roomName,detail_JP,detail
EtherDagger2,エーテルダガー,風をまとった短剣,振り,,Ether Dagger,,dagger surrounded by wind,dagger,,100,,obj_S EQ,1025,,,,,100,,,,"ingot,ingot,+rune",,ether,metal,80000,32,0,4,100,500,0,,"eleLightning/32,resLightning/10,SpWeakResEle/20,casting/12,mod_flurry/24",1,Slash,"5,5,16,8",20,"4,6",,,,,,,,,,,エーテルの力を宿した短剣だ。,A dagger imbued with the power of ether.
luckydagger,ラッキーダガー,細い短剣,振り,,Lucky Dagger,,thin dagger,dagger,,100,,obj_S EQ,817,,"3,500",,,100,,,,"ingot,ingot,+rune",,mica,metal,500000,60,0,4,100,400,0,,"negateSteal/10,seeInvisible/10,LUC/15,fishing/13,bane_fish/25,absorbSP/50,eheluck/10,mod_chaser/16",1,Slash,"4,6,13,18",30,"18,13",,,,,,godArtifact,,,,,エヘカトルより授かった幸運の力を宿した短剣だ。,"A divine dagger imbued with the power of luck, bestowed by Ehekatl."
kogitsunemaru,小狐丸,祟られた小刀,振り,,Kogitsunemaru,,hexed short sword,dagger,,100,,obj_S EQ,826,,"3,500",,,100,,,,"ingot,ingot,+rune",,meteorite,metal,500000,60,0,4,100,900,0,,"bane_all/20,seeInvisible/10,noDamage/20,life/20,mana/20,vigor/20,SPD/30,PDR/15,EDR/15,encSpell/20,permaCurse/10",1,Slash,"1,1,0,0",0,"0,0",,,,,,godArtifact,,,,,キズアミより授かった悪戯の力を宿した小刀だ。,"A divine short sword imbued with the power of trickery, bestowed by Kizuami."
dagger_hathaway,ハサウェイの短剣,銀細工の短剣,振り,,Hathaway's Dagger,,silver-crafted dagger,dagger,,100,,obj_S EQ,927,,,,,100,,,,"ingot,ingot,+rune",,silver,metal,60000,20,0,4,100,600,0,,"encSpell/10,casting/4,controlmana/10,manaCapacity/5,memorization/3,travel/3,MAG/4,resMagic/3",1,Slash,"4,5,6,2",10,"5,2",,,,,,,,,,,"振るう者の魔力を増幅する魔法の短剣。永遠に挑む二つの結びついた魂の誓いと、いつの日か再会するという約束を象徴している。 ","A magical dagger used to amplify spellcasting. It also embodies the oath of two intertwined souls to defy eternity, their eternal and transcendent bond, and their promise to reunite one day. "
dagger_fish,魚おろし,鋭い包丁,振り,,Fish Slayer,,sharp kitchen knife,dagger,,100,,obj EQ,4307,,,,,100,,,,"ingot,ingot,+rune",,steel,metal,90000,25,0,4,100,900,0,,"bane_fish/30,eleLightning/5,sustain_DEX/1,cooking/7,mod_cleave/50,slot_rune/1",1,Slash,"1,27,10,1",40,,,,,,,,,,,,魚を殺すことに執念を燃やした名工が作った恐るべし包丁。,A fearsome kitchen knife forged by a renowned craftsman driven by an unwavering determination to kill fishes.
dagger_gaki,朱餓鬼,生意気な忍刀,振り,,Sugaki,,cocky wakizashi,dagger,,100,,obj_S EQ,909,,,,,100,,,,"ingot,ingot,+rune",,rubinus,metal,120000,20,0,4,100,800,0,,"life/5,eleMind/10,eleNether/10,resMind/10,negateFear/10,negateConfusion/10,mod_chaser/10",1,Slash,"4,6,9,5",5,"3,0",,,,,,,,,,,かつて人々を捕らえては罵倒して食料を奪ったという悪鬼の角から削り出された忍刀。斬られた者は悪鬼の罵声が聴こえるという。対となる『滅餓鬼』も存在していたらしい。,"A ninjato made from rubynus, carved from the horn of a malevolent demon that once captured people, insulted them, and stole their food. It is said that those cut by this blade can hear the demon's curses."
sword_ragnarok,ラグナロク,全てを終結させる剣,振り,,Ragnarok,,sword that ends all,sword,,100,,obj_S EQ,924,,,,,100,,,,"ingot,ingot,+rune",,obsidian,metal,1800000,2000,0,4,100,4200,0,,"encRagnarok/100,negateSteal/1",1,Slash,"2,18,4,3",20,"-1,1",,,,,,,,,,,世界の終末を招くといわれる長剣だ。,A longsword said to herald the end of the world.
sword_forgetmenot,勿忘草の剣,白い刀身の剣,振り,,Sword of Forget-me-not,,white fine sword,sword,,100,,obj_S EQ,925,,,,,100,,,,"ingot,ingot,+rune",,meteorite,metal,300000,55,0,4,100,1000,0,,"seeInvisible/10,eyeofmind/10,critical/10,mod_flurry/10",1,Slash,"7,5,12,0",50,"0,0",,,,,,,,,,,勿忘草を模した白い刀身の神秘的な長剣。その刃はかつての所有者と、忘れられない戦いの記憶を宿している。,A longsword that embodies the essence of forget-me-not in its white blade. It captures the unforgettable memories of its bearers.
point_stick,点棒,ルーンが刻まれた棒,振り,,Point Stick,,stick engraved with runes,sword,,100,,obj_S EQ,816,,,,,100,,,,"ingot,ingot,+rune",,plastic,metal,160000,30,0,4,100,100,0,,"meleeDistance/1,ActNeckHunt/20,LUC/10,slot_rune/1,mod_feint/24,mod_frustration/38",1,Slash,"1,100,0,0",0,"-30,-20",,,,,,,,,,,珍しい形状をした異国の武器だ。狙って当てるのは難しく、振るう者の運が試される。,"An exotic weapon of unusual shape. It’s hard to aim with, and the wielder’s luck is tested."
sword_muramasa,正宗,艶やかな刀,振り,,Masamune,,polished sword,sword,,100,,obj EQ,4305,,,,,100,,,,"ingot,ingot,+rune",,steel,metal,250000,50,0,4,100,2500,0,,mod_talisman/100,1,Slash,"6,6,5,0",75,"0,0",,,,,,,,,,,振るう者に災いをもたらすとされる異国の長剣だ。,"An unusual longsword from abroad, reputed to bring woes to the one who wields it."
sword_muramasa2,村正,妖しい刀,振り,,Muramasa,,bewitched sword,sword,,100,,obj EQ,4308,,"3,500",,,100,,,,"ingot,ingot,+rune",,meteorite,metal,500000,60,0,4,100,3000,0,,"levitation/10,encSpell/15,eleNether/25,resFire/5,resNerve/5,resChaos/5,absorbMP/30,bane_man/25,critical/15",1,Slash,"6,6,5,0",60,"0,0",,,,,,godArtifact,,,,,ホロメより授かった月影の力を宿した刀だ。,"A divine katana imbued with the power of moonshadow, bestowed by Horome."
warmonger,ウォーモンガー,古めかしい長剣,振り,,Warmonger,,old sword,sword,,100,,obj_S EQ,829,,"3,500",,,100,,,,"ingot,ingot,+rune",,titanium,metal,500000,60,0,4,100,4500,0,,"negateFear/1,bane_all/25,bane_man/25,bane_dragon/25,bane_animal/25,bane_machine/25,ActNeckHunt/10,eleCut/25,resCut/10,mod_flurry/10",1,Slash,"3,10,10,10",50,"0,-5",,,,,,godArtifact,,,,,イーヴァンより授かった戦禍の力を宿した剣だ。,"A divine sword imbued with the power of strife, bestowed by Yevan."
sword_dragon,ドラゴンころし,両刃の大剣,振り,,Dragon Slayer,,two-edged great sword,sword,,100,,obj EQ,4300,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,160000,50,0,4,100,28000,0,,"bane_dragon/30,bane_god/30,mod_frustration/80",1,Slash,"3,14,-25,20",,"-42,13",,,,,,,,,,,ドラゴンを殺すことに執念を燃やした名工が作った恐るべし大剣。,A fearsome greatsword forged by a renowned craftsman driven by an unwavering determination to kill dragons.
sword_zephir,ゼフィールの怒り,蒸気を放つ大剣,振り,,Zephir's Wrath,,steam emitting claymore,sword,,100,,obj_S EQ,926,,,,,100,,,,"ingot,ingot,+rune",,steel,metal,220000,50,0,4,100,3600,0,ToolRangeGun,"eleLightning/15,bolt_Lightning/25",1,Slash,"4,9,1,10",,,,,,,,,,,,,"鉄製の長くてギザギザしたクレイモア。その大剣が放つ一撃は、雷のような音を立てると言われている。 ","A long jagged claymore made of iron. It is said that each strike this weapon inflicts sounds like thunder. "
sword_claymore,大剣,,振り,m,claymore,,,sword,,100,,obj_S EQ,910,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,9,1000,0,100,4000,0,,mod_frustration/10,1,Slash,"3,7,1,8",,,,,,,,,,,,,重量感ある剣だ。,A large sword normally held in two hands.
sword_katana,刀,,振り,m,katana,,,sword,,100,,obj_S EQ,912,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,18,1000,0,100,1200,0,,mod_talisman/25,1,Slash,"4,4,0,6",35,,,,,,,,,,,,異国から来た細身の剣だ。,A unique curved sword made through a folding process.
sword_bokuto,木刀,,振り,m,bokuto,,,blunt,,100,,obj_S EQ,903,,,,,100,,,factory_wood,"log/5,string,stick/2,+rune",,oak,metal,500,25,20,0,100,900,0,,"nonLethal/10,safetyMeasure/10",1,Blunt,"1,3",,,,,,,,,,,,,戦闘の訓練に用いられる木の武器だ。,A wooden weapon used for combat practice.
sword,長剣,,振り,m,long sword,,,sword,,100,,obj_S EQ,1028,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,1,1000,0,100,1500,0,,mod_flurry/10,1,Slash,"2,8,5,4",15,,,,,,,,,,,,細い刀身の剣だ。,A double-edged sword
test_sword,テストソード,,振り,m,test sword,,,sword,,100,,@obj,0,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,1,0,0,100,1500,0,Drink,"mod_cleave/100,mod_chaser/100,FPV/100,antiMagic/50",1,Slash,"2,8,5,4",15,,,,,,,noWish,,,,,細い刀身の剣だ。,A double-edged sword
lightsaber,ライトセーバー,,振り,,lightsaber,,,sword,,100,,obj_S EQ,1010,,,,,100,,,,"ingot,ingot,+rune",,ether,metal,4800,30,10,0,100,600,0,,"force_weapon/1,redirect_blaser/23",1,Slash,"2,6",100,,,,,,,,,,,,光り輝く刀剣だ。,A glowing sword.
lightsaber_double,デュアルセーバー,,振り,,dualsaber,,,staff,,100,,obj EQ,4304,,,,,100,,,,"ingot,ingot,+rune",,rubinus,metal,6400,50,2,0,100,900,0,,"force_weapon/1,mod_flurry/10,meleeDistance/1,redirect_blaser/14",1,Slash,"3,4",90,,,,,,,,,,,,光り輝く杖だ。,A glowing staff.
axe_destruction,破壊の斧,,振り,,Axe of Destruction,,,axe,,100,,obj EQ,4303,,,,,100,,,,"ingot,ingot,+rune",,rubinus,metal,120000,40,0,4,100,16000,0,,"lumberjack/4,critical/30,mod_frustration/40",1,Slash,"1,75,-35,0",,,,,,,,,,supply,,,重く扱いづらいが強大な破壊力を秘めた斧だ。,A heavy axe that's difficult to handle but possesses immense destructive power.
axe_bardish,大斧,,振り,m,bardish,,,axe,,100,,obj_S EQ,914,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,17,1000,0,100,3500,0,,"lumberjack/4,mod_frustration/10",1,Slash,"1,24,-8,6",,,,,,,,,,supply,,,刃先の広い斧だ。,A single-bladed axe resembling a polearm.
axe_battle,戦斧,,振り,m,battle axe,,,axe,,100,,obj_S EQ,1015,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,7,1000,0,100,3700,0,,"lumberjack/4,mod_frustration/10",1,Slash,"1,20,-3,4",,,,,,,,,,supply,,,戦闘用に加工された斧だ。,A large double-bladed axe
axe_hand,手斧,,振り,m,hand axe,,,axe,,100,,obj_S EQ,900,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,1,1000,0,100,1600,0,,"lumberjack/4,mod_cleave/10",1,Slash,"2,9,4,5",,,,,,,,,,supply,,,小型の斧だ。,A small single-bladed axe.
axe_machine,機械斧,,振り,m,machine axe,,,axe,,100,,obj_S EQ,1011,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,14,1000,0,100,3200,0,,"lumberjack/4,mod_cleave/10",1,Slash,"2,10,5,3",20,,,,,,,,,supply,,,刃先の広い斧だ。,A single-bladed axe resembling a polearm.
blunt_earth,大地の大槌,巨大な槌,振り,,Earth Hammer,,giant hammer,blunt,,100,,obj EQ,4400,,"3,500",,,100,,,,"ingot,ingot,+rune",,adamantite,metal,500000,60,0,4,100,16500,0,,"mining/8,STR/13,resMind/10,r_life/100,SpEarthquake/30,EDR/10,PDR/10,negateFear/10,negateBlind/10",1,Blunt,"2,34,-8,25",,,,,,,,godArtifact,,,,,オパートスより授かった大地の力を宿した槌だ。,"A divine hammer imbued with the power of the earth, bestowed by Opatos."
blunt_bonehammer,竜骨槌,風化した槌,振り,,Dragonbone Hammer,,wind-worn hammer,blunt,,100,,obj EQ,4302,,,,,100,,,,"ingot,ingot,+rune",,bone,metal,100000,40,0,4,100,14000,0,,"mining/3,mod_splash/50,slot_rune/1",1,Blunt,"3,12,-5,8",,,,,,,,,,,,,古竜の堅骨から彫り起こされた巨大な槌だ。,A gigantic hammer carved from the solid bones of an ancient dragon.
blunt_hammer,大槌,,振り,m,Mallet,,,blunt,,100,,obj_S EQ,917,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,16,1000,0,100,4200,0,,"mining/3,mod_splash/10",1,Blunt,"2,15,-3,4",,,,,,,,,,,,,重量感ある槌だ。,A tool that is sometimes adopted as a weapon
blunt_log,丸太,,振り,m,log,,,blunt,,100,,obj EQ,4314,,,,,100,,,factory_wood,"log/20|ingot,+rune",,oak,metal,500,10,50,0,100,12000,0,,"bane_undead/10,mod_feint/5,mod_cleave/5",1,Blunt,"1,28,1,3",,,,,,,,,,,,,大きな丸太だ。,A huge log.
blunt_club,棍棒,,振り,m,club,,,blunt,,100,,obj_S EQ,916,,,,,100,,,,"ingot,ingot,+rune",,oak,metal,500,1,1000,0,100,1000,0,,"mining/3,mod_feint/10",1,Blunt,"3,4,4,7",,,,,,,,,,,,,素材を削り出して作られた棒だ。,A blunt weapon with a round end that is sometimes spiked.
blunt_mace,メイス,,振り,m,mace,,,blunt,,100,,obj_S EQ,1023,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,6,1000,0,100,1600,0,,"mining/3,mod_frustration/10",1,Blunt,"4,4,5,5",,,,,,,,,,,,,殴打に特化した合成棍棒だ。,A blunt weapon with a round end that is sometimes spiked.
pole_holy,ホーリーランス,聖なる槍,振り,,Holy Lance,,holy lance,polearm,,100,,obj EQ,4403,,"3,500",,,100,,,,"ingot,ingot,+rune",,silver,metal,500000,60,0,4,100,4400,0,,"WIL/14,resNether/15,resDarkness/15,SpHolyVeil/50,eleHoly/50,life/15,bane_undead/10,negateFear/1,mod_drill/20,meleeDistance/1,mod_chaser/20,innocence/1",1,Pierce,"7,5,12,11",40,"8,15",,,,,,godArtifact,,,,,ジュアより授かった聖なる力を宿した槍だ。,"A divine lance imbued with the power of holiness, bestowed by Jure."
pole_gunlance,ガンランス,咆哮を放つ槍,振り,,Gunlance,,roaring lance,polearm,,100,,obj EQ,4301,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,140000,45,0,4,100,11500,0,ToolRangeGun,meleeDistance/1,1,Pierce,"5,8,-6,7",30,,,,,,,,,,,,先端に砲身を備えた機械仕掛けの槍だ。,A mechanized lance equipped with a barrel at the tip.
pole_halberd,鉾槍,,振り,m,halberd,,,polearm,,100,,obj_S EQ,913,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,20,1000,0,100,3800,0,,"meleeDistance/1,mod_flurry/8",1,Pierce,"2,10,-2,1",30,,,,,,,,,,,,複数の使い方が出来る槍だ。,A weapon resembling a spear with the head of an axe.
pole_naginata,薙刀,,振り,m,naginata,,,polearm,,100,,obj_S EQ,806,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,17,1000,0,100,3000,0,,"meleeDistance/1,mod_cleave/15",1,Pierce,"1,20,0,4",20,,,,,,,,,,,,長い柄の先に穂がついた異国の槍だ。,A foreign spear with a long shaft and a blade at the tip.
pole_trident,三叉槍,,振り,m,trident,,,polearm,,100,,obj_S EQ,906,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,5,1000,0,100,1800,0,,"meleeDistance/1,mod_feint/8",1,Pierce,"4,4,1,3",25,"3,0",,,,,,,,,,,先が三つに分かれた槍だ。,A three pronged polearm.
spear,長槍,,振り,m,long spear,,,polearm,,100,,obj_S EQ,1012,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,1,1000,0,100,2500,0,,"meleeDistance/1,mod_chaser/8",1,Pierce,"3,5,2,4",25,"3,0",,,,,,,,,,,細長い槍だ。,A polearm with a sharp point.
scythe_kumi,クミロミサイズ,収穫の鎌,振り,m,Kumiromi Scythe,,harvest scythe,scythe,,100,,obj EQ,4311,,"3,500",,,100,,,,"ingot,ingot,+rune",,spirit,metal,500000,60,0,4,100,850,0,,"strongStomach/10,cooking/12,mining/6,farming/15,resChaos/5,allNeckHunt/30,parasite/8,r_life/10,planter/10",1,Slash,"1,38,5,2",20,,,,,,,godArtifact,,,,,クミロミより授かった収穫の力を宿した大鎌だ。,"A divine scythe imbued with the power of harvest, bestowed by Kumiromi."
scythe,大鎌,,振り,m,scythe,,,scythe,,100,,obj_S EQ,1000,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,15,1000,0,100,4000,0,,ActNeckHunt/10,1,Slash,"1,17,3,4",5,,,,,,,,,,,,首をちょんぎれる戦闘用の鎌だ。,"A scythe for combat, designed to behead."
scythe_sickle,戦鎌,,振り,m,war sickle,,,scythe,,100,,obj_S EQ,815,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,1,1000,0,100,1400,0,,ActNeckHunt/10,1,Slash,"2,5,2,10",5,,,,,,,,,,,,農具としても武器としても使える鎌だ。,A sickle that can be used both as a farming tool and a weapon.
kusarigama,鎖鎌,,振り,m,kusarigama,,,scythe,,100,,obj_S EQ,814,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,10,100,0,100,2400,0,,"meleeDistance/1,ActNeckHunt/10",1,Slash,"2,9,-2,3",,,,,,,,,,,,,長い鎖に重い 分銅を取り付けた戦闘用の鎌だ。,A combat sickle with a heavy weight attached to a long chain.
staff_element,エレメンタルスタッフ,元素の杖,振り,,Elemental Staff,,elemental staff,staff,,100,,obj_S EQ,920,,"3,500",,,0,,,,"ingot,ingot,+rune",,obsidian,metal,500000,60,0,4,100,900,0,,"force_weapon/1,eleCold/50,eleFire/50,eleLightning/50,resFire/5,resCold/5,resLightning/5,SpWeakResEle/40,encSpell/25,r_mana/40",1,Blunt,"2,14,6,8",,"11,4",,,,,,godArtifact,,,,,イツパロトルより授かった元素の力を宿した杖だ。,"A divine staff imbued with the power of element, bestowed by Itzpalt."
staff_magius,マギウスの杖,象牙の杖,振り,,Staff of Magius,,ivory staff,staff,,100,,obj_S EQ,923,,,,,0,,,,"ingot,ingot,+rune",,wood_birch,metal,120000,45,0,4,100,1200,0,,"levitation/1,resMutation/1,negateBlind/1,negateParalysis/1,optimizeMana/42,slot_rune/1,mod_feint/24,farsee/1,negateGravity/1",1,Blunt,"2,6,11,2",,"6,7",,,,,,,,,,,「シラク！」,"""Shirak!"""
staff_insanity,狂気の杖,呻く杖,振り,,Staff of Insanity,,shivering staff,staff,,100,,obj_S EQ,1123,,,,,0,,,,"ingot,ingot,+rune",,obsidian,metal,80000,35,0,4,100,2500,0,,"eleNerve/40,eleMind/40,casting/18,MAG/10,encSpell/42,resChaos/10,SpNightmare/45,featManaMeat/1",1,Blunt,"1,8,-5,2",,"15,3",,,,,,,,,,,「昔、破滅を望んだ魔術師が手にした杖と聞いているよ。あの頃はなんて愚かしい人間がいたものだと笑っていたが、今なら気持ちが何となくわかる気がする。彼もきっと失いすぎたのだろうね」,"""They say a mage who longed for ruin once wielded that staff. I used to scoff at such foolish souls, yet now I find myself understanding him somehow. He must have suffered more loss than anyone should."" "
staff_long,長棒,,振り,m,long staff,,,staff,,100,,obj_S EQ,918,,,,,100,,,,"ingot,ingot,+rune",,oak,metal,500,1,1000,0,100,800,0,,mod_feint/10,1,Blunt,"2,5,3,4",,"4,0",,,,,,,,,,,細長い棒だ。,A staff used primarily as a weapon and sometimes for magic.
staff,杖,,振り,m,staff,,,staff,,100,,obj_S EQ,919,,,,,100,,,,"ingot,ingot,+rune",,oak,metal,500,8,1000,0,100,900,0,,mod_feint/10,1,Blunt,"1,8,4,3",,"4,0",,,,,,,,,,,魔法を補佐する為の棒だ。,A staff used in a variety of ways.
staff_Cat,肉球の杖,,振り,,cat paw,staff,,staff,,100,,obj_S EQ,1013,,,,,100,,,,"ingot,ingot,+rune",,oak,metal,500,24,30,0,100,900,0,,"mod_flurry/40,mod_chaser/40,mod_feint/10",1,Blunt,"1,8,4,3",,4,,,,,,,,supply,,,魔法を補佐する為の棒だ。,A staff used in a variety of ways.
staff_leek,ネギ,,振り,,leek stick,,,staff,,100,,obj_S EQ,1022,,,,,100,,,,"ingot,ingot,+rune",,oak,metal,2500,1,10,0,100,500,0,,"mod_cleave/39,slot_rune/1",1,Blunt,"1,12,6,1",,,,,,,,,,supply,,,ネギだ。,A leek stick.
martial_claw,爪,,振り,m,claw,,,martial,,100,,obj_S EQ,1034,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,1,1500,0,100,400,0,,"mod_flurry/10,counter/12",1,Claw,"0,0,-6,4",20,"-2,2",,,,,,,,,,,拳闘に用いられる武器だ。,A weapon employed in close hand-to-hand fighting.
martial_glove,グローブ,,振り,m,boxing gloves,pair,,martial,,100,,obj_S EQ,1035,,,,,100,,,,texture/2,,hide,leather,500,1,750,0,100,300,0,,"mod_feint/10,counter/12",1,Punch,"0,0,5,-3",,"3,2",,,,,,,,,,,拳闘に用いられる武器だ。,A weapon employed in close hand-to-hand fighting.
martial_chakram,円月輪,,振り,m,moon chakram,,,martial,,100,,obj_S EQ,1040,,,,,100,,,,"ingot,ingot,+rune",,iron,metal,500,15,1000,0,100,800,0,,"mod_cleave/10,parry/23",1,Slash,"0,0,3,3",10,,,,,,,,,,,,拳闘に用いられる武器だ。,A weapon employed in close hand-to-hand fighting.
cane_simple,ワンド,,振り,m,cane,,,cane,,100,,obj_S flat,1114,,,,,100,,*,factory_wood,"stick/2|gem,string/2,fragment/2",,oak,metal,600,2,250,0,100,400,0,ToolRangeCane,,3,Cane,"1,13,6,0",40,,,,,,,,,,,,魔術師の見習いが使うワンドだ。,A cane used by apprentice wizards.
sling,スリング,,挺,m,sling,,,throw,,100,,obj_S flat,1021,,,,,100,,*,factory_wood,"stick/2,string/1,bark/2",,oak,metal,250,2,500,0,100,200,0,ToolRangeSling,,2,Bow,"2,6,5,8",,,,,,,,,,,,,小石を投擲するための武器だ。小石を持っていない場合は、自動的に地面から拾って補充される。,"A weapon for throwing pebbles. If you don't have any, you will automatically pick up somes from the ground to replenish them."
bow_wood,木の弓,,挺,,wooden bow,,,bow,,100,,obj_S flat,1019,,,,,100,,*,factory_wood,"stick/2,string/2,bone/2",,oak,metal,400,2,100,0,100,800,0,ToolRangeBow,,2,Bow,"2,9,4,1",10,,,,,,,,,,,,練習用の木の弓だ。,A practice bow.
bow_short,短弓,,挺,m,short bow,,,bow,,100,,obj_S flat,1019,,,,,100,,,,"ingot,ingot,+rune",,oak,metal,700,1,1000,0,100,800,0,ToolRangeBow,,1,Bow,"3,5,8,3",15,,,,,,,,,,,,扱いが簡単な小ぶりの弓。,A standard easy to use bow.
bow,長弓,,挺,m,long bow,,,bow,,100,,obj_S flat,1014,,,,,100,,,,"ingot,ingot,+rune",,oak,metal,700,4,1000,0,100,1200,0,ToolRangeBow,,3,Bow,"2,7,4,8",20,,,,,,,,,,,,短弓よりも遠くの標的を射るために設計された弓。,A bow specifically designed to shoot farther than a short bow.
bow_skull,骨弓,,挺,m,skull bow,,,bow,,100,,obj_S flat,1020,,,,,100,,,,"ingot,ingot,+rune",,bone,metal,2000,15,100,0,100,700,0,ToolRangeBow,,2,Bow,"1,17,-18,10",15,,,,,,,,,,,,骨を加工した弓だ。,A bow specifically designed to shoot farther than a short bow.
bow_vindale,異形の森の弓,波動を放つ弓,挺,m,Bow of Vindale,,shaking bow,bow,,100,,obj_S flat,835,,,,,100,,,,"ingot,ingot,+rune",,mithril,metal,60000,35,0,4,100,1200,0,ToolRangeBow,"ActDraw/100,elePoison/63",3,Bow,"4,5,5,7",20,,,,,,,,,,,,エレアが使う長弓だ。この弓には敵を引き寄せる魔力が込められている。,A longbow used by the Elea. This bow is imbued with magic that draws enemies toward it.
